Closest_match,Score,Expected,Template_length,Template_Identity,Template_Coverage,Query_Identity,Query_Coverage,Depth,q_value,p_value,LCA_TaxId,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species
7224|M12580.1 Drosophila hydei Y chromosome lampbrush loop transcribed repeats,1186,0,861,30.43,33.57,90.66,297.92,2.19,1184.95,1e-26,7214,Eukaryota,Metazoa,Arthropoda,Insecta,Diptera,Drosophilidae,,
"77133|EU438529.1 Uncultured bacterium clone Cbk-W4-9 16S ribosomal RNA gene, partial sequence",544,0,875,49.37,49.37,100.0,202.55,3.36,542.93,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|EU438530.1 Uncultured bacterium clone Cbk-W4-11 16S ribosomal RNA gene, partial sequence",660,0,880,56.48,56.48,100.0,177.06,4.09,658.92,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|EU438531.1 Uncultured bacterium clone Cbk-W4-12 16S ribosomal RNA gene, partial sequence",492,0,878,59.91,60.02,99.81,166.6,2.73,490.93,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|EU438562.1 Uncultured bacterium clone Cbk-W4-66 16S ribosomal RNA gene, partial sequence",3484,0,913,54.98,55.31,99.41,180.79,20.63,3482.88,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|EU438649.1 Uncultured bacterium clone D030-W4-49 16S ribosomal RNA gene, partial sequence",578,0,881,40.18,40.3,99.72,248.17,2.97,576.92,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|EU035882.1 Uncultured bacterium clone Ksed14 16S ribosomal RNA gene, partial sequence",444,0,835,50.9,51.02,99.77,196.01,2.16,442.98,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"10228|XM_002118891.1 Trichoplax adhaerens hypothetical protein, mRNA",686,0,1365,63.08,63.08,100.0,158.54,2.15,684.33,1e-26,10228,Eukaryota,Metazoa,Placozoa,unk_c,unk_o,Trichoplacidae,Trichoplax,Trichoplax adhaerens
"77133|EU919775.1 Uncultured bacterium clone b40 16S ribosomal RNA gene, partial sequence",3060,0,1479,70.99,72.95,97.31,137.07,11.07,3058.19,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"77133|EU925847.1 Uncultured bacterium clone 038E63 16S ribosomal RNA gene, partial sequence",784,0,1523,74.13,74.92,98.95,133.48,2.89,782.14,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|EU925858.1 Uncultured bacterium clone 056F10 16S ribosomal RNA gene, partial sequence",4002,0,1483,96.97,97.3,99.65,102.77,10.63,4000.18,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|EU925874.1 Uncultured bacterium clone 077F67 16S ribosomal RNA gene, partial sequence",818,0,1482,73.82,75.64,97.59,132.2,3.01,816.19,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"77133|EU925879.1 Uncultured bacterium clone 084F79 16S ribosomal RNA gene, partial sequence",4228,0,1487,95.49,96.64,98.82,103.48,13.51,4226.18,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|EU925882.1 Uncultured bacterium clone 088G2 16S ribosomal RNA gene, partial sequence",1548,0,1524,79.2,79.59,99.51,125.64,4.85,1546.14,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|EU925883.1 Uncultured bacterium clone 090G6 16S ribosomal RNA gene, partial sequence",5984,0,1466,76.47,76.88,99.47,130.08,21.2,5982.21,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|EU925886.1 Uncultured bacterium clone 096G28 16S ribosomal RNA gene, partial sequence",3484,0,1519,83.54,84.66,98.68,118.12,11.36,3482.14,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|EU925890.1 Uncultured bacterium clone 104G47 16S ribosomal RNA gene, partial sequence",21388,0,1528,99.87,100.0,99.87,100.0,66.21,21386.13,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|EU925910.1 Uncultured bacterium clone 139I8 16S ribosomal RNA gene, partial sequence",2060,0,1503,84.83,84.96,99.84,117.7,6.03,2058.16,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|EU925911.1 Uncultured bacterium clone 142I14 16S ribosomal RNA gene, partial sequence",6442,0,1521,99.61,99.8,99.8,100.2,21.05,6440.14,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|EU857992.1 Uncultured bacterium clone G5-23 16S ribosomal RNA gene, partial sequence",242,0,446,76.01,77.13,98.55,129.65,2.69,241.45,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77097|EU440965.1 Halomonas aquamarina strain 2PR52-11 16S ribosomal RNA gene, partial sequence",9234,0,1498,98.46,98.46,100.0,101.56,30.83,9232.17,1e-26,77097,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,Halomonas aquamarina
"166587|AB448893.1 Uncultured Chloroflexi bacterium gene for 16S rRNA, partial sequence, clone: IODP1324B3H2.45",1158,0,878,90.43,90.77,99.62,110.16,6.78,1156.93,1e-26,166587,Bacteria,unk_k,Chloroflexi,unk_c,unk_o,unk_f,unk_g,uncultured Chloroflexi bacterium
"468909|AM883188.1 endosymbiont of Oligobrachia haakonmosbiensis partial cbbL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase form I large subunit, clone Ohaa cbbL-1",2228,0,621,89.37,95.81,93.28,104.37,31.1,2227.24,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,
"77133|FM179897.1 Uncultured bacterium partial 16S rRNA gene, clone Gullfaks_b23",894,0,1483,73.16,74.04,98.82,135.06,2.83,892.19,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|FM179900.1 Uncultured bacterium partial 16S rRNA gene, clone Gullfaks_b141",1082,0,1529,47.68,48.4,98.51,206.62,3.68,1080.13,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|FM179905.1 Uncultured bacterium partial 16S rRNA gene, clone Gullfaks_b31",878,0,1521,64.17,65.55,97.89,152.56,3.3,876.14,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"260708|AJ620500.1 Olavius ilvae Delta 1 endosymbiont 16S rRNA gene, clone OilvEIV1jw2-4",5308,0,1521,75.81,75.94,99.83,131.69,15.13,5306.14,1e-26,260708,Bacteria,unk_k,Proteobacteria,Deltaproteobacteria,unk_o,unk_f,unk_g,Olavius ilvae Delta 1 endosymbiont
"562720|FJ169963.1 Pseudoalteromonas sp. E407-2 16S ribosomal RNA gene, partial sequenceFJ170002.1 Pseudoalteromonas sp. CF6-8 16S ribosomal RNA gene, partial sequence",842,0,1517,41.0,41.07,99.84,243.5,2.37,840.14,1e-26,562720,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas sp. E407-2
"77133|EU178998.1 Uncultured bacterium clone 1B03 16S ribosomal RNA gene, partial sequence",418,0,629,62.64,62.64,100.0,159.64,2.86,417.23,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|EU179012.1 Uncultured bacterium clone 1B18 16S ribosomal RNA gene, partial sequence",364,0,658,68.39,69.45,98.47,143.98,3.2,363.2,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|EU179036.1 Uncultured bacterium clone 1B52 16S ribosomal RNA gene, partial sequence",500,0,813,80.32,80.57,99.69,124.12,2.58,499.01,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|EU179180.1 Uncultured bacterium clone 21B137 16S ribosomal RNA gene, partial sequence",908,0,670,68.66,68.81,99.78,145.34,6.71,907.18,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|FJ197481.1 Uncultured bacterium clone ALVIN28_2G_FF_RP3 16S ribosomal RNA gene, partial sequence",928,0,715,57.2,57.76,99.03,173.12,6.29,927.12,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|FJ197508.1 Uncultured bacterium clone ALVIN29a_10H_FF 16S ribosomal RNA gene, partial sequence",436,0,763,74.44,74.71,99.65,133.86,2.66,435.07,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"91750|FM242424.1 Uncultured alpha proteobacterium partial 16S ribosomal RNA, clone 92 T12d-oil",3368,0,1301,93.85,94.39,99.43,105.94,12.62,3366.41,1e-26,91750,Bacteria,unk_k,Proteobacteria,Alphaproteobacteria,unk_o,unk_f,unk_g,uncultured Alphaproteobacteria bacterium
"663|FJ177527.1 Vibrio alginolyticus putative outer membrane protein (va1632) gene, complete cds",652,0,642,92.06,92.83,99.16,107.72,4.67,651.21,1e-26,663,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus
"56765|FM246723.1 Uncultured marine bacterium partial 16S rRNA gene, clone nam73_571",552,0,495,93.94,95.56,98.31,104.65,6.55,551.39,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"56765|FM246731.1 Uncultured marine bacterium partial 16S rRNA gene, clone nam73_580",304,0,508,59.06,59.06,100.0,169.33,2.36,303.38,1e-26,56765,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured marine bacterium
"56765|FM246575.1 Uncultured marine bacterium partial 16S rRNA gene, clone nam73_250",1086,0,431,99.3,100.0,99.3,100.0,10.77,1085.47,1e-26,56765,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured marine bacterium
"77133|FJ223343.1 Uncultured bacterium clone 168 16S ribosomal RNA gene, partial sequence",750,0,778,58.48,59.64,98.06,167.67,4.59,749.05,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"77133|FJ223384.1 Uncultured bacterium clone 320 16S ribosomal RNA gene, partial sequence",444,0,779,35.43,35.94,98.57,278.21,2.81,443.05,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|FJ223392.1 Uncultured bacterium clone 330 16S ribosomal RNA gene, partial sequence",856,0,771,80.29,80.42,99.84,124.35,4.65,855.06,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|FJ223417.1 Uncultured bacterium clone 368 16S ribosomal RNA gene, partial sequence",1782,0,772,84.46,84.59,99.85,118.22,12.04,1781.05,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|FJ223434.1 Uncultured bacterium clone 367 16S ribosomal RNA gene, partial sequence",668,0,655,76.49,78.63,97.28,127.18,5.26,667.2,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"77133|FJ223509.1 Uncultured bacterium clone 614 16S ribosomal RNA gene, partial sequence",272,0,501,69.46,72.06,96.4,138.78,3.27,271.39,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"77133|FJ223518.1 Uncultured bacterium clone 631 16S ribosomal RNA gene, partial sequence",290,0,510,81.18,81.96,99.04,122.01,3.12,289.38,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"100371|EU478653.1 Uncultured Planctomycetales bacterium clone Peru_16 16S ribosomal RNA gene, partial sequence; 16S-23S ribosomal RNA intergenic spacer, tRNA-Ile and tRNA-Ala genes, complete sequence; and 23S ribosomal RNA gene, partial sequence",4560,0,2173,86.88,88.54,98.13,112.94,12.05,4557.34,1e-26,112,Bacteria,unk_k,Planctomycetota,Planctomycetia,Planctomycetales,unk_f,unk_g,
"77133|FJ264564.1 Uncultured bacterium clone Mn3b-B47 16S ribosomal RNA gene, partial sequence",2860,0,1488,87.97,88.17,99.77,113.41,8.21,2858.18,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|FJ264569.1 Uncultured bacterium clone Mn3b-B38 16S ribosomal RNA gene, partial sequence",1828,0,1473,54.72,54.72,100.0,182.75,5.87,1826.2,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|FJ264571.1 Uncultured bacterium clone Mn3b-B36 16S ribosomal RNA gene, partial sequence",830,0,1500,64.87,65.0,99.79,153.85,2.4,828.17,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|FJ264573.1 Uncultured bacterium clone Mn3b-B34 16S ribosomal RNA gene, partial sequence",3786,0,1521,97.57,97.9,99.66,102.15,11.3,3784.14,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|FJ264574.1 Uncultured bacterium clone Mn3b-B33 16S ribosomal RNA gene, partial sequence",3226,0,1497,69.74,70.21,99.33,142.44,9.4,3224.17,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|FJ264582.1 Uncultured bacterium clone Mn3b-B23 16S ribosomal RNA gene, partial sequence",972,0,1475,33.08,33.15,99.8,301.64,2.38,970.2,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|FJ264651.1 Uncultured bacterium clone OrigSedB11 16S ribosomal RNA gene, partial sequence",978,0,1468,79.16,79.63,99.4,125.58,3.75,976.2,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|FJ264655.1 Uncultured bacterium clone OrigSedB15 16S ribosomal RNA gene, partial sequence",1224,0,1505,39.6,39.87,99.33,250.83,3.42,1222.16,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|FJ264656.1 Uncultured bacterium clone OrigSedB16 16S ribosomal RNA gene, partial sequence",1692,0,1513,62.39,62.59,99.68,159.77,4.52,1690.15,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|FJ264664.1 Uncultured bacterium clone OrigSedB23 16S ribosomal RNA gene, partial sequence",1220,0,1530,89.02,89.41,99.56,111.84,3.8,1218.13,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|FJ264666.1 Uncultured bacterium clone OrigSedB26 16S ribosomal RNA gene, partial sequence",1410,0,1506,76.69,76.89,99.74,130.05,4.38,1408.16,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|FJ264668.1 Uncultured bacterium clone OrigSedB28 16S ribosomal RNA gene, partial sequence",1240,0,1501,75.35,75.62,99.65,132.25,4.29,1238.16,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|FJ264669.1 Uncultured bacterium clone OrigSedB29 16S ribosomal RNA gene, partial sequence",12748,0,1505,96.21,96.94,99.25,103.15,38.57,12746.16,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|FJ264756.1 Uncultured bacterium clone livecontrolB22 16S ribosomal RNA gene, partial sequence",2008,0,1485,80.27,80.74,99.42,123.85,6.09,2006.18,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|FJ264774.1 Uncultured bacterium clone so4B17 16S ribosomal RNA gene, partial sequence",850,0,1493,65.84,66.38,99.19,150.66,2.46,848.17,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|FJ264782.1 Uncultured bacterium clone so4B24 16S ribosomal RNA gene, partial sequence",3968,0,1530,95.69,96.8,98.85,103.31,12.8,3966.13,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|FM213755.1 Uncultured bacterium partial 16S rRNA gene, clone Crozet_s_274",572,0,699,75.11,80.83,92.92,123.72,5.09,571.14,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,
"77133|FM213855.1 Uncultured bacterium partial 16S rRNA gene, clone Crozet_s_374",550,0,699,94.28,94.56,99.7,105.75,3.35,549.14,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|FM213941.1 Uncultured bacterium partial 16S rRNA gene, clone Crozet_s_460",370,0,699,74.25,74.25,100.0,134.68,2.58,369.15,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|FM214027.1 Uncultured bacterium partial 16S rRNA gene, clone Crozet_s_546",562,0,699,73.82,74.25,99.42,134.68,3.43,561.14,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|FM214267.1 Uncultured bacterium partial 16S rRNA gene, clone Crozet_s_786",430,0,699,63.52,63.52,100.0,157.43,3.0,429.14,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|FM214268.1 Uncultured bacterium partial 16S rRNA gene, clone Crozet_s_787",370,0,699,66.95,67.38,99.36,148.41,3.01,369.15,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|FM215004.1 Uncultured bacterium partial 16S rRNA gene, clone Crozet_d_292",376,0,649,46.69,46.69,100.0,214.19,2.55,375.21,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"153939|FJ403689.1 Uncultured sulfate-reducing bacterium clone 25H-0D-6 dissimilatory sulfite reductase subunit A (dsrA) gene, partial cds",584,0,921,82.74,82.95,99.74,120.55,2.6,582.87,1e-26,153939,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured sulfate-reducing bacterium
"153939|FJ403693.1 Uncultured sulfate-reducing bacterium clone 25H-0D-10 dissimilatory sulfite reductase subunit A (dsrA) gene, partial cds",646,0,912,70.07,70.29,99.69,142.28,3.62,644.88,1e-26,153939,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured sulfate-reducing bacterium
"153939|FJ403703.1 Uncultured sulfate-reducing bacterium clone 25H-0D-20 dissimilatory sulfite reductase subunit A (dsrA) gene, partial cds",1428,0,921,79.15,80.46,98.38,124.29,7.0,1426.87,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"153939|FJ403717.1 Uncultured sulfate-reducing bacterium clone 25H-0D-34 dissimilatory sulfite reductase subunit A (dsrA) gene, partial cds",860,0,912,59.1,60.42,97.82,165.52,4.11,858.88,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"153939|FJ403734.1 Uncultured sulfate-reducing bacterium clone 25H-0D-51 dissimilatory sulfite reductase subunit A (dsrA) gene, partial cds",1116,0,867,95.27,100.0,95.27,100.0,8.1,1114.94,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,
"153939|FJ403791.1 Uncultured sulfate-reducing bacterium clone 40H-0D-33 dissimilatory sulfite reductase subunit A (dsrA) gene, partial cds",1796,0,927,97.09,100.0,97.09,100.0,12.03,1794.87,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"153939|FJ403847.1 Uncultured sulfate-reducing bacterium clone 25H-270D-36 dissimilatory sulfite reductase subunit A (dsrA) gene, partial cds",554,0,924,78.03,79.76,97.83,125.37,3.72,552.87,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"153939|FJ403918.1 Uncultured sulfate-reducing bacterium clone 25H-200D-22 dissimilatory sulfite reductase subunit A (dsrA) gene, partial cds",972,0,939,71.35,75.4,94.63,132.63,7.5,970.85,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,
"153939|FJ403952.1 Uncultured sulfate-reducing bacterium clone 40H-100D-5 dissimilatory sulfite reductase subunit A (dsrA) gene, partial cds",578,0,870,61.26,63.22,96.91,158.18,3.35,576.94,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"77133|AM911545.1 Uncultured bacterium partial 16S rRNA, clone C11_S02A",2468,0,778,99.74,100.0,99.74,100.0,15.37,2467.05,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AM911559.1 Uncultured bacterium partial 16S rRNA, clone D08_S02A",446,0,749,78.91,80.77,97.69,123.8,3.6,445.08,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"77133|FJ416072.1 Uncultured bacterium clone 102G40 16S ribosomal RNA gene, partial sequence",926,0,1489,81.73,81.87,99.84,122.15,3.06,924.18,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|FJ416101.1 Uncultured bacterium clone 067L8 16S ribosomal RNA gene, partial sequence",972,0,1472,27.79,28.4,97.85,352.15,3.06,970.2,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"77133|FM165232.1 Uncultured bacterium partial 16S rRNA gene, clone v1tb1",1358,0,1536,74.02,74.61,99.21,134.03,4.78,1356.12,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|FM165270.1 Uncultured bacterium partial 16S rRNA gene, clone v1t52",844,0,1472,33.7,34.17,98.61,292.64,3.06,842.2,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"86473|FJ205329.1 Uncultured gamma proteobacterium clone I1A 16S ribosomal RNA gene, partial sequence",2000,0,1470,94.15,95.03,99.07,105.23,6.52,1998.2,1e-26,86473,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,unk_o,unk_f,unk_g,uncultured Gammaproteobacteria bacterium
"77133|AB429977.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: TE05aug-046",298,0,591,47.38,50.76,93.33,197.0,2.54,297.28,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,
"77133|AB430042.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: NY05nov-015",460,0,574,97.74,100.0,97.74,100.0,4.07,459.3,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"77133|AB429717.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: AN05aug-101",392,0,585,45.64,45.81,99.63,218.28,2.56,391.28,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|FJ483457.1 Uncultured bacterium clone FLS3 lipolytic enzyme (lip3) gene, complete cds",1650,0,1113,98.65,100.0,98.65,100.0,7.06,1648.64,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|FJ535326.1 Uncultured bacterium clone TS-19 16S ribosomal RNA gene, partial sequence",952,0,1363,68.89,69.33,99.37,144.23,3.29,950.33,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|FJ545489.1 Uncultured bacterium clone S1-62 16S ribosomal RNA gene, partial sequence",1364,0,1559,47.53,47.53,100.0,210.39,4.72,1362.09,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|FJ545566.1 Uncultured bacterium clone S2-37 16S ribosomal RNA gene, partial sequence",1496,0,1535,60.98,60.98,100.0,164.0,4.94,1494.12,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"115547|FJ571750.1 Uncultured archaeon clone R15-35a 16S ribosomal RNA gene, partial sequence",818,0,1346,30.53,30.53,100.0,327.49,2.67,816.35,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"113268|AB250696.1 Bathymodiolus platifrons methanotrophic gill symbiont gene for 16S ribosomal RNA, partial sequence",912,0,1364,34.68,34.68,100.0,288.37,3.3,910.33,1e-26,113268,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,unk_o,unk_f,unk_g,Bathymodiolus platifrons methanotrophic gill symbiont
"77133|EU487981.1 Uncultured bacterium clone CK_1C2_76 16S ribosomal RNA gene, partial sequence",1246,0,1475,68.14,68.54,99.41,145.9,3.65,1244.2,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"265882|FJ668681.1 Uncultured anaerobic ammonium-oxidizing bacterium clone A5-X-10 16S ribosomal RNA gene, partial sequenceJN090974.1 Uncultured anaerobic ammonium-oxidizing bacterium clone H5-S-94 16S ribosomal RNA gene, partial sequenceJQ901732.1 Uncultured anaerobic ammonium-oxidizing bacterium clone 37H-S-5 16S ribosomal RNA gene, partial sequence",510,0,720,69.03,69.17,99.8,144.58,4.16,509.12,1e-26,265882,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured anaerobic ammonium-oxidizing bacterium
"77133|FJ640821.1 Uncultured bacterium clone Ba52 16S ribosomal RNA gene, partial sequence",1634,0,1494,58.1,58.7,98.97,170.35,4.79,1632.17,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|FJ712402.1 Uncultured bacterium clone KZNMV-0-B4 16S ribosomal RNA gene, partial sequence",21084,0,1393,98.99,99.71,99.28,100.29,78.17,21082.29,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|FJ712403.1 Uncultured bacterium clone KZNMV-0-B5 16S ribosomal RNA gene, partial sequence",872,0,1407,47.62,49.32,96.54,202.74,3.75,870.28,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"77133|FJ712410.1 Uncultured bacterium clone KZNMV-0-B15 16S ribosomal RNA gene, partial sequence",796,0,1395,70.39,72.62,96.94,137.71,3.09,794.29,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
