Closest_match,Score,Expected,Template_length,Template_Identity,Template_Coverage,Query_Identity,Query_Coverage,Depth,q_value,p_value,LCA_TaxId,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species
"91357|AF118019.1 Pseudoalteromonas sp. RE10F/5 16S ribosomal RNA gene, partial sequence",1244,7,1497,47.76,47.83,99.86,209.08,3.76,1220.81,1e-26,91357,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas sp. RE10F/5
"358574|GQ452709.1 Uncultured microorganism clone ERB_1_H7 NifH (nifH) gene, partial cds",10088,2,386,97.93,100.0,97.93,100.0,154.99,10081.97,1e-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"358574|GQ452710.1 Uncultured microorganism clone ERB_1_H8 NifH (nifH) gene, partial cds",3540,2,422,95.5,100.0,95.5,100.0,64.82,3533.41,1e-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,,
"358574|GQ452714.1 Uncultured microorganism clone ERB_2_A6 NifH (nifH) gene, partial cds",562,2,386,95.34,100.0,95.34,100.0,9.95,556.0,1e-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,,
"358574|GQ452715.1 Uncultured microorganism clone ERB_2_A9 NifH (nifH) gene, partial cds",3876,2,422,95.26,100.0,95.26,100.0,60.61,3869.41,1e-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,,
"358574|GQ452717.1 Uncultured microorganism clone ERB_2_B11 NifH (nifH) gene, partial cds",948,1,374,96.26,100.0,96.26,100.0,17.4,942.17,1e-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,,
"358574|GQ452719.1 Uncultured microorganism clone ERB_2_B5 NifH (nifH) gene, partial cds",362,2,386,81.35,85.75,94.86,116.62,6.64,356.02,1e-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,,
"358574|GQ452721.1 Uncultured microorganism clone ERB_2_B8 NifH (nifH) gene, partial cds",582,2,386,96.89,100.0,96.89,100.0,10.92,576.0,1e-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"358574|GQ452723.1 Uncultured microorganism clone ERB_2_C11 NifH (nifH) gene, partial cds",2912,2,386,97.93,99.74,98.18,100.26,45.53,2905.98,1e-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"358574|GQ452730.1 Uncultured microorganism clone ERB_2_D12 NifH (nifH) gene, partial cds",492,2,386,92.49,99.74,92.73,100.26,8.8,486.0,1e-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,,
"358574|GQ452731.1 Uncultured microorganism clone ERB_2_D3 NifH (nifH) gene, partial cds",398,2,386,82.38,84.2,97.85,118.77,5.58,392.01,1e-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"358574|GQ452733.1 Uncultured microorganism clone ERB_2_D7 NifH (nifH) gene, partial cds",2872,2,422,98.1,100.0,98.1,100.0,39.88,2865.42,1e-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"358574|GQ452734.1 Uncultured microorganism clone ERB_2_D8 NifH (nifH) gene, partial cds",414,2,386,94.82,100.0,94.82,100.0,7.48,408.01,1e-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,,
"358574|GQ452736.1 Uncultured microorganism clone ERB_2_E1 NifH (nifH) gene, partial cds",1768,1,377,95.76,100.0,95.76,100.0,30.97,1762.12,1e-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,,
"358574|GQ452737.1 Uncultured microorganism clone ERB_2_E10 NifH (nifH) gene, partial cds",288,2,404,78.22,80.45,97.23,124.31,5.07,281.75,1e-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"358574|GQ452741.1 Uncultured microorganism clone ERB_2_E3 NifH (nifH) gene, partial cds",340,1,370,97.57,100.0,97.57,100.0,5.59,334.26,1e-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"358574|GQ452742.1 Uncultured microorganism clone ERB_2_E4 NifH (nifH) gene, partial cds",2340,2,422,95.02,100.0,95.02,100.0,41.05,2333.42,1e-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,,
"358574|GQ452746.1 Uncultured microorganism clone ERB_2_E8 NifH (nifH) gene, partial cds",544,2,386,84.46,89.38,94.49,111.88,9.07,538.0,1e-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,,
"358574|GQ452759.1 Uncultured microorganism clone ERB_2_G2 NifH (nifH) gene, partial cds",708,2,386,95.34,100.0,95.34,100.0,13.17,701.99,1e-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,,
"358574|GQ452762.1 Uncultured microorganism clone ERB_2_G5 NifH-like (nifH) gene, partial sequence",1202,2,388,96.91,100.26,96.66,99.74,17.3,1195.95,1e-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"358574|GQ452764.1 Uncultured microorganism clone ERB_2_G7 NifH (nifH) gene, partial cds",206,2,389,95.12,100.0,95.12,100.0,4.21,200.0,1e-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,,
"358574|GQ452765.1 Uncultured microorganism clone ERB_2_G9 NifH (nifH) gene, partial cds",312,2,422,96.21,100.0,96.21,100.0,5.36,305.47,1e-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,,
"358574|GQ452771.1 Uncultured microorganism clone ERB_2_H5 NifH (nifH) gene, partial cds",22408,2,422,97.87,100.0,97.87,100.0,331.37,22401.41,1e-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"358574|GQ452773.1 Uncultured microorganism clone ERB_2_H7 NifH (nifH) gene, partial cds",1306,2,386,95.08,100.0,95.08,100.0,21.16,1299.98,1e-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,,
"358574|GQ452774.1 Uncultured microorganism clone ERB_2_H8 NifH (nifH) gene, partial cds",47088,2,422,95.73,100.0,95.73,100.0,750.3,47081.41,1e-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,,
"77133|AB525445.1 Uncultured bacterium gene for 16S ribosomal RNA, partial sequence, clone: UT06_10_52B_25",17908,7,1457,93.34,93.82,99.49,106.58,59.53,17885.26,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AB525448.1 Uncultured bacterium gene for 16S ribosomal RNA, partial sequence, clone: UT06_10_52B_28",36382,7,1489,94.83,95.03,99.79,105.23,119.6,36358.75,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AB525454.1 Uncultured bacterium gene for 16S ribosomal RNA, partial sequence, clone: UT06_10_52B_40",9532,7,1425,92.77,93.05,99.7,107.47,36.18,9509.77,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AB525472.1 Uncultured bacterium gene for 16S ribosomal RNA, partial sequence, clone: UT06_10_52B_68",3356,7,1442,91.75,92.3,99.4,108.34,11.65,3333.54,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"115547|AB525477.1 Uncultured archaeon gene for 16S ribosomal RNA, partial sequence, clone: UT06_10_52A_53",15482,7,1411,37.07,37.07,100.0,269.79,43.13,15459.98,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"115547|AB525492.1 Uncultured archaeon mcrA gene for methyl coenzyme M reductase alpha subunit, partial cds, clone: UT06_PC10_1mcr21",858,2,439,82.69,83.37,99.18,119.95,6.62,851.17,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"115547|AB525495.1 Uncultured archaeon mcrA gene for methyl coenzyme M reductase alpha subunit, partial cds, clone: UT06_PC10_1mcr12",366,2,439,98.41,100.0,98.41,100.0,4.12,359.2,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"77133|GQ853874.1 Uncultured bacterium clone DE02751F10 16S ribosomal RNA gene, partial sequence",896,3,596,74.5,79.19,94.07,126.27,7.64,886.73,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,
"681625|GQ914732.1 Streptomyces sp. GS11 cellulase gene, partial cdsHM235800.1 Uncultured bacterium clone AM11 cellulase gene, partial cds",584,5,1022,83.37,83.56,99.77,119.67,2.35,568.23,1e-26,681625,Bacteria,unk_k,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp. GS11
"115547|FP565147.1 uncultured archaeon ANME-1, unordered contigs",808903948,1301,3398838,76.62,80.26,95.47,124.6,1627.62,808900043.32,1e-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,,
"115547|GQ994182.1 Uncultured archaeon clone MD3057K-8 16S ribosomal RNA gene, partial sequence",546,4,911,67.84,68.06,99.68,146.94,3.54,531.93,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"663|EU484572.1 Vibrio alginolyticus alkaline serine protease (asp) gene, complete cds",3594,12,2450,80.41,80.86,99.44,123.67,5.75,3555.91,1e-26,663,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus
"115547|GU182110.1 Uncultured archaeon clone ANME-1-mcrA-JdF-a-basalt methyl coenzyme M reductase alpha subunit (mcrA) gene, partial cds",2256,2,479,97.7,99.16,98.53,100.84,16.76,2248.53,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"405772|AM404077.1 Thiomicrospira sp. Lilliput-1 partial cbbL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase form I large subunit, isolate 2",434,3,732,67.9,72.13,94.13,138.64,4.3,422.7,1e-26,135616,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,,
"152507|FJ543169.1 Uncultured actinobacterium clone OPM27 16S ribosomal RNA gene, partial sequence",766,4,911,30.74,33.59,91.5,297.71,4.12,751.89,1e-26,1760,Bacteria,unk_k,Actinobacteria,Actinomycetia,unk_o,unk_f,,
"663|FJ908086.1 Vibrio alginolyticus strain EPGS Pep gene, complete cds",1374,8,1596,79.07,79.57,99.37,125.67,3.94,1349.27,1e-26,663,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus
"115547|AM404405.1 Uncultured archaeon partial 16S rRNA gene, clone GoM_SMBush4593_Arch139",1578,7,1359,28.92,28.99,99.75,344.92,5.52,1556.9,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"34034|AM404377.1 Uncultured delta proteobacterium partial 16S rRNA gene, clone GoM_SMBush4593_Bac37",17622,7,1522,78.38,78.52,99.83,127.36,57.5,17598.24,1e-26,34034,Bacteria,unk_k,Proteobacteria,Deltaproteobacteria,unk_o,unk_f,unk_g,uncultured delta proteobacterium
"34034|AM404378.1 Uncultured delta proteobacterium partial 16S rRNA gene, clone GoM_SMBush4593_Bac26",199634,7,1522,98.82,99.21,99.6,100.79,573.65,199610.23,1e-26,34034,Bacteria,unk_k,Proteobacteria,Deltaproteobacteria,unk_o,unk_f,unk_g,uncultured delta proteobacterium
"77133|AM229187.1 Uncultured bacterium partial 16S rRNA gene, clone HydGH-Bac134JQ580250.1 Uncultured delta proteobacterium clone RII-TR017 16S ribosomal RNA gene, partial sequence",944,7,1521,72.91,73.11,99.73,136.78,2.94,920.51,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AM229192.1 Uncultured bacterium partial 16S rRNA gene, clone HydGH-Bac75",10310,8,1555,98.01,99.49,98.51,100.52,40.82,10285.74,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AM229201.1 Uncultured bacterium partial 16S rRNA gene, clone HydGC-83-107B",25722,7,1525,97.9,98.03,99.87,102.01,72.48,25698.19,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AM229204.1 Uncultured bacterium partial 16S rRNA gene, clone HydGC-83-130B",2776,7,1526,86.17,86.57,99.55,115.52,9.35,2752.26,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AM229207.1 Uncultured bacterium partial 16S rRNA gene, clone HydGC-84-160B",2972,7,1525,90.89,92.52,98.23,108.08,10.83,2948.27,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"34034|AM404370.1 Uncultured delta proteobacterium partial 16S rRNA gene, clone GoM_SMBush4593_Bac113",12718,7,1526,97.97,100.52,97.46,99.48,43.76,12694.19,1e-26,28221,Bacteria,unk_k,Proteobacteria,Deltaproteobacteria,unk_o,unk_f,unk_g,
"663|GU318323.1 Vibrio alginolyticus strain EpGS020803 outer membrane protein K (ompK) gene, complete cds",1006,4,846,95.39,95.39,100.0,104.83,5.29,992.86,1e-26,663,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus
"115547|GU190970.1 Uncultured archaeon clone MatB0arc19 16S ribosomal RNA, partial sequence",1320,7,1421,72.34,72.41,99.9,138.1,4.34,1297.97,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"115547|GU190973.1 Uncultured archaeon clone MatB0arc25 16S ribosomal RNA, partial sequence",15348,7,1402,99.64,100.0,99.64,100.0,53.21,15326.12,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"77133|GU302426.1 Uncultured bacterium clone MatB0bac25 16S ribosomal RNA, partial sequence",3208,7,1526,43.32,43.38,99.85,230.51,10.2,3184.24,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|GU302467.1 Uncultured bacterium clone Out12bac10 16S ribosomal RNA, partial sequence",6312,7,1526,42.53,45.09,94.33,221.8,19.0,6288.21,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,
"77133|GU302496.1 Uncultured bacterium clone MatB12bac48 16S ribosomal RNA, partial sequence",19712,7,1510,85.96,86.42,99.46,115.71,63.56,19688.43,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|GU302499.1 Uncultured bacterium clone MatB0mcr144 methyl coenzyme M reductase alpha subunit (mcrA) mRNA, partial cds",1196,3,706,60.48,61.33,98.61,163.05,6.37,1185.02,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|GU363003.1 Uncultured bacterium clone BD72BR158 16S ribosomal RNA gene, partial sequence",1200,7,1487,58.64,60.32,97.21,165.77,4.63,1176.97,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"77133|GU475310.1 Uncultured bacterium clone DSH1B100 16S ribosomal RNA gene, partial sequence",2362,3,706,93.06,93.48,99.55,106.97,16.26,2351.0,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|FJ800252.1 Uncultured bacterium clone 3 2B 95 16S ribosomal RNA gene, partial sequence",638,4,920,70.11,70.43,99.54,141.98,3.74,623.77,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|FJ800262.1 Uncultured bacterium clone 4 2B 19 16S ribosomal RNA gene, partial sequence",852,4,848,99.41,100.0,99.41,100.0,5.82,838.85,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"358574|GU810089.1 Uncultured microorganism clone JdF_PC1B formyl tetrahydrofolate synthetase (fhs) gene, partial cds",688,5,1126,73.0,77.89,93.73,128.39,5.08,670.61,1e-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,,
"77133|GU722224.1 Uncultured bacterium clone SY09-54 16S ribosomal RNA gene, partial sequence",1122,3,714,25.77,28.15,91.54,355.22,4.26,1110.9,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,
"358574|GQ477544.1 Uncultured microorganism clone Q3 nif operon, partial sequence",1764,16,3081,67.74,72.74,93.13,137.48,4.14,1716.46,1e-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,,
"114243|GU969397.1 Uncultured euryarchaeote clone ANT82-BP 16S ribosomal RNA gene, partial sequence",328,2,552,58.15,61.96,93.86,161.4,4.63,319.48,1e-26,28890,Archaea,unk_k,Euryarchaeota,unk_c,unk_o,unk_f,,
"81447|AB020306.1 Photobacterium indicum gyrB gene for DNA gyrase subunit B, partial cds, strain: IFO 14233",1096,6,1181,91.87,91.87,100.0,108.85,3.78,1077.69,1e-26,81447,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium,Photobacterium indicum
"153939|HM004743.1 Uncultured sulfate-reducing bacterium clone Nye-0_2-dsrE08 dissimilatory sulfite reductase beta subunit-like (dsrb) gene, partial sequence",572,4,797,75.78,79.17,95.72,126.31,5.88,559.67,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,
"115547|HM004862.1 Uncultured archaeon clone NapMat-8_10-mcrA04 methyl coenzyme M reductase subunit A-like (mcrA) gene, partial sequence",494,4,775,80.52,82.84,97.2,120.72,2.7,482.03,1e-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"77133|GU996490.1 Uncultured bacterium clone MNO302C5 16S ribosomal RNA gene, partial sequence",654,4,818,51.83,56.97,90.99,175.54,5.12,641.33,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,
"77133|FJ813520.1 Uncultured bacterium clone GoC_Bac_30_D1_C0_M0 16S ribosomal RNA gene, partial sequence",1060,7,1467,96.8,96.93,99.86,103.16,4.07,1037.31,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|FJ813559.1 Uncultured bacterium clone GoC_Bac_54_D0_C1_M0 16S ribosomal RNA gene, partial sequence",780,7,1457,87.71,91.63,95.73,109.14,4.0,757.54,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,
"77133|AB560668.1 Uncultured bacterium gene for 16S ribosomal RNA, partial sequence, clone: GAM3",600,4,923,48.43,48.43,100.0,206.49,3.24,585.74,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|GU982860.1 Uncultured bacterium clone 3051bac5-41 16S ribosomal RNA gene, partial sequence",576,5,991,87.29,87.99,99.2,113.65,3.17,560.7,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|GU553738.1 Uncultured bacterium clone ORI-860-26-P_S008-010_261B06 16S ribosomal RNA gene, partial sequence",4424,7,1424,95.15,95.65,99.49,104.55,16.93,4401.81,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|GU553777.1 Uncultured bacterium clone ORI-860-27-P_S101-103_272B02 16S ribosomal RNA gene, partial sequence",878,7,1493,73.68,73.81,99.82,135.48,2.81,854.95,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|FN820307.1 Uncultured bacterium partial 16S rRNA gene, clone GoC_Bac_59_D0_C0_M1",958,7,1512,93.39,94.64,98.67,105.66,3.75,934.64,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"115547|FN820379.1 Uncultured archaeon partial 16S rRNA gene, clone GoC_Arc_43_D0_C1_M0",728,7,1350,72.89,72.96,99.9,137.06,2.67,707.18,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"77133|GQ340928.1 Uncultured bacterium clone EM3L7 lipase gene, complete cds",2608,4,834,97.36,100.0,97.36,100.0,21.28,2595.0,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"38313|HM016095.1 Shewanella algae strain ATCC 51192 DNA-directed RNA polymerase beta chain (rpoB) gene, partial cds",1722,5,1142,97.81,97.9,99.91,102.15,5.41,1704.25,1e-26,38313,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella algae
"418642|HM016099.1 Shewanella haliotis strain DW01 RNA polymerase sigma-70 factor (rpoD) gene, partial cds",920,4,779,97.95,99.61,98.32,100.39,6.71,907.9,1e-26,22,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,
"768527|HM016108.1 Shewanella sp. KJW23 heat shock protein 70 (Hsp70) gene, partial cds",962,3,624,86.86,86.86,100.0,115.13,5.69,952.3,1e-26,768527,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella sp. KJW23
"77133|FN562895.1 Uncultured bacterium partial 16S rRNA gene, clone bC2",950,6,1335,46.52,46.67,99.68,214.29,3.14,929.35,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|HM243767.1 Uncultured bacterium clone HWB1012-3-92 16S ribosomal RNA gene, complete sequence",5220,8,1556,29.11,31.43,92.64,318.2,17.51,5195.75,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,
"115547|HM601109.1 Uncultured archaeon clone MC118_29E27 16S ribosomal RNA gene, partial sequence",258,2,503,74.55,74.55,100.0,134.13,2.39,250.25,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"115547|HM601219.1 Uncultured archaeon clone MC118_31C83 16S ribosomal RNA gene, partial sequence",6044,4,882,62.81,62.93,99.82,158.92,32.29,6030.24,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"115547|HM601221.1 Uncultured archaeon clone MC118_31C2 16S ribosomal RNA gene, partial sequence",5376,4,882,94.67,94.78,99.88,105.5,32.93,5362.24,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"115547|HM601225.1 Uncultured archaeon clone MC118_31D27 16S ribosomal RNA gene, partial sequence",610,4,883,76.33,76.78,99.41,130.24,3.49,596.35,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"115547|HM601245.1 Uncultured archaeon clone MC118_31D11 16S ribosomal RNA gene, partial sequence",1494,4,939,73.48,74.12,99.14,134.91,9.28,1479.4,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"115547|HM601246.1 Uncultured archaeon clone MC118_31D16 16S ribosomal RNA gene, partial sequence",704,4,883,41.56,41.9,99.19,238.65,3.67,690.33,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"115547|FR695389.1 Uncultured archaeon partial mcrA gene for methyl-coenzyme M reductase subunit A, isolate DGGE band mcrA_1M",300,2,449,85.08,85.3,99.74,117.23,2.46,293.06,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"115547|HM746605.1 Uncultured archaeon clone MC118_16_29E_ANME-1_(16) McrA (mcrA) gene, partial cds",14534,2,479,97.91,100.0,97.91,100.0,121.8,14526.52,1e-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"115547|HM746608.1 Uncultured archaeon clone MC118_15_30D_ANME-1_(6) McrA (mcrA) gene, partial cds",53506,2,479,98.33,100.0,98.33,100.0,448.24,53498.52,1e-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"115547|HM746609.1 Uncultured archaeon clone MC118_31A_20-ANME-1(6) McrA (mcrA) gene, partial cds",1802,2,479,88.31,91.02,97.02,109.86,17.55,1794.53,1e-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"115547|HM746611.1 Uncultured archaeon clone MC118_31B_15-ANME-1_(5) McrA (mcrA) gene, partial cds",23224,2,479,98.12,100.0,98.12,100.0,184.84,23216.52,1e-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"115547|HM746612.1 Uncultured archaeon clone MC118_31B_24-ANME-1_(16) McrA (mcrA) gene, partial cds",580,2,479,89.35,92.9,96.18,107.64,6.59,572.56,1e-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,,
"115547|HM746614.1 Uncultured archaeon clone MC118_15_31D_ANME-1_(5) McrA (mcrA) gene, partial cds",524,2,479,62.84,65.34,96.17,153.04,5.73,516.57,1e-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,,
"115547|HM746616.1 Uncultured archaeon clone MC118_14_36C_ANME-1_(12) McrA (mcrA) gene, partial cds",274,2,479,76.83,78.08,98.4,128.07,2.36,266.61,1e-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"115547|HM746644.1 Uncultured archaeon clone MC118_31A_23-IRD_(7) McrA (mcrA) gene, partial cds",466,2,512,91.02,92.58,98.31,108.02,3.66,458.06,1e-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"77133|HQ225009.1 Uncultured bacterium clone MF-Oct-47 16S ribosomal RNA gene, partial sequence",5202,7,1505,99.67,99.73,99.93,100.27,14.58,5178.54,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"155900|HM637410.1 Uncultured organism clone Sed_C03 putative ketoacyl synthase gene, partial cds",656,2,480,88.12,90.62,97.24,110.34,5.52,648.54,1e-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"77133|HQ606292.1 Uncultured bacterium clone SH5C_1H3b_B050 16S ribosomal RNA gene, partial sequence",578,4,769,97.66,98.18,99.47,101.85,4.29,566.1,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|HQ588420.1 Uncultured bacterium clone AMSMV-0-B177 16S ribosomal RNA gene, partial sequenceKF440270.1 Uncultured bacterium clone AMSGC_2_B27 16S ribosomal RNA gene, partial sequence",2970,7,1366,93.41,93.92,99.45,106.47,10.88,2948.73,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|HQ588449.1 Uncultured bacterium clone AMSMV-5-B22 16S ribosomal RNA gene, partial sequence",1702,7,1414,54.24,54.31,99.87,184.11,5.74,1680.04,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|HQ588474.1 Uncultured bacterium clone AMSMV-5-B62 16S ribosomal RNA gene, partial sequence",7984,7,1436,99.16,99.44,99.72,100.56,29.56,7961.6,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
