Closest_match,Score,Expected,Template_length,Template_Identity,Template_Coverage,Query_Identity,Query_Coverage,Depth,q_value,p_value,LCA_TaxId,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species
"175245|KX176119.1 Uncultured fungus clone Otu1796 internal transcribed spacer 1 and 5.8S ribosomal RNA gene, partial sequence",150,1,206,97.57,97.57,100,102.49,2.93,145.19,1.00E-26,175245,Eukaryota,Fungi,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured fungus
"77133|FJ615412.1 Uncultured bacterium clone AOM-B-c4 16S ribosomal RNA gene, partial sequence",790,10,1386,33.48,33.62,99.57,297.42,2.81,757.74,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"663|FJ617267.1 Vibrio alginolyticus strain HY9901 flagellin (flaB) gene, complete cds",3410,8,1134,74.96,75.84,98.84,131.86,14.13,3383.21,1.00E-26,663,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus
"663|FJ617268.1 Vibrio alginolyticus strain HY9901 flagellin (flaC) gene, complete cds",9708,9,1155,39.83,39.83,100,251.09,29.05,9680.65,1.00E-26,663,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus
"77133|FJ350935.1 Uncultured bacterium clone 060329_T2S1_S_T_SDP_283 small subunit ribosomal RNA gene, partial sequence",492,6,850,60.35,60.82,99.23,164.41,2.52,472.21,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"115547|FJ351238.1 Uncultured archaeon clone 060329_T2S1_S_T_SDP_164 small subunit ribosomal RNA gene, partial sequence",918,6,867,66.78,67.94,98.3,147.2,7.21,897.65,1.00E-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"77133|FJ351307.1 Uncultured bacterium clone 060329_T2S2_S_T_SDP_188 small subunit ribosomal RNA gene, partial sequence",678,6,850,38.12,39.18,97.3,255.26,4.23,658.11,1.00E-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"77133|FJ351487.1 Uncultured bacterium clone 060329_T2S2_S_T_SDP_159 small subunit ribosomal RNA gene, partial sequence",534,6,860,34.53,34.88,99,286.67,3.14,513.95,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|FJ352016.1 Uncultured bacterium clone 060329_T2S4_S_T_SDP_123 small subunit ribosomal RNA gene, partial sequence",528,6,862,33.99,34.8,97.67,287.33,4.18,507.91,1.00E-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"115547|FJ353523.1 Uncultured archaeon clone Gctb_ML_097 small subunit ribosomal RNA gene, partial sequence",4878,6,867,87.54,90.2,97.06,110.87,28.54,4857.49,1.00E-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
575788|FM954972.2 Vibrio splendidus LGP32 chromosome 1,123590296,23640,3299303,40.87,43.74,93.43,228.63,226.45,123519393.6,1.00E-26,641,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,,
575788|FM954973.2 Vibrio splendidus LGP32 chromosome 2,17342286,13066,1675515,23.03,24.97,92.23,400.43,71.34,17303124.97,1.00E-26,641,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,,
"77133|EU487866.1 Uncultured bacterium clone CK_1C1_10 16S ribosomal RNA gene, partial sequence",932,11,1482,57.83,59.72,96.84,167.46,4.03,897.45,1.00E-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"77133|EU488291.1 Uncultured bacterium clone CK_2C4_2 16S ribosomal RNA gene, partial sequence",1604,11,1477,35.07,35.27,99.42,283.49,4.22,1569.32,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"663|EU787499.2 Vibrio alginolyticus strain E0601 transposase gene, complete cds",43400,37,4685,20.66,21.99,93.98,454.85,61.15,43289.07,1.00E-26,641,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,,
"86473|FM896995.1 Uncultured gamma proteobacterium partial 16S rRNA gene, clone bc6.15",232,3,423,75.65,77.07,98.16,129.75,2.7,222.16,1.00E-26,1236,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,unk_o,unk_f,unk_g,
"115547|FJ712372.1 Uncultured archaeon clone KZNMV-5-A22 16S ribosomal RNA gene, partial sequence",724,11,1436,26.53,26.6,99.74,375.92,2.48,690.66,1.00E-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"77133|FJ712405.1 Uncultured bacterium clone KZNMV-0-B8 16S ribosomal RNA gene, partial sequence",1882,11,1416,41.67,41.81,99.66,239.19,6.52,1848.7,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|FJ712433.1 Uncultured bacterium clone KZNMV-0-B51 16S ribosomal RNA gene, partial sequence",1124,11,1510,23.25,23.38,99.43,427.76,3.69,1088.71,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|FJ712435.1 Uncultured bacterium clone KZNMV-0-B53 16S ribosomal RNA gene, partial sequence",2278,11,1516,61.15,61.61,99.25,162.31,7.93,2242.31,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|FJ712469.1 Uncultured bacterium clone KZNMV-5-B48 16S ribosomal RNA gene, partial sequence",15482,12,1529,63.18,63.44,99.59,157.63,46.82,15445.79,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|FJ712588.1 Uncultured bacterium clone KZNMV-25-B55 16S ribosomal RNA gene, partial sequence",712,11,1396,31.59,31.66,99.77,315.84,2.73,679.58,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|FJ716976.1 Uncultured bacterium clone E6_10.3_1 16S ribosomal RNA gene, partial sequence",1306,9,1174,46.93,47.36,99.1,211.15,4.95,1278.43,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|FJ717148.1 Uncultured bacterium clone B1_10.3_2 16S ribosomal RNA gene, partial sequence",1024,11,1506,38.65,38.65,100,258.76,3.39,988.85,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|FJ746129.1 Uncultured bacterium clone SPG12_343_353_B43 16S ribosomal RNA gene, partial sequence",894,11,1418,46.4,47.11,98.5,212.28,3.07,860.94,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|FJ746158.1 Uncultured bacterium clone SPG12_343_353_B82 16S ribosomal RNA gene, partial sequence",1364,11,1416,58.12,58.47,99.4,171.01,5.29,1330.8,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|FJ786103.1 Uncultured bacterium clone S0-50 16S ribosomal RNA gene, partial sequence",770,9,1243,60.5,62.11,97.41,161.01,3.07,741.03,1.00E-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"619661|FJ596960.1 Vibrio sp. AF23 Rep gene, partial cds",930,5,666,74.77,76.88,97.27,130.08,8.9,914.33,1.00E-26,662,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,
"619666|FJ596984.1 Vibrio sp. J-C1-34 RstA gene, partial cds",492,4,598,48.66,50.17,97,199.33,4.01,478,1.00E-26,662,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,
"619683|FJ596985.1 Vibrio sp. SG259 RstA gene, partial cds",390,4,598,52.34,53.68,97.51,186.29,3.01,376.05,1.00E-26,662,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,
"619684|FJ596987.1 Vibrio sp. SG328 RstA gene, partial cds",1198,4,598,73.41,74.58,98.43,134.08,9.03,1183.9,1.00E-26,619684,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio sp. SG328
"663|FJ790776.1 Vibrio alginolyticus strain EPJS T6SS1 gene cluster, complete sequence",146958,254,32212,52.52,53.13,98.85,188.23,21.7,146196.23,1.00E-26,663,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus
"663|FJ790777.1 Vibrio alginolyticus strain EPJS T6SS2 gene cluster, complete sequence",246930,245,31102,50.69,51.06,99.28,195.83,37.91,246193.81,1.00E-26,663,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus
"77133|EU982944.1 Uncultured bacterium clone BR1pmoA22 PmoA (pmoA) gene, partial cds",346,3,505,46.14,47.13,97.9,212.18,2.94,334.21,1.00E-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"77133|FJ346069.1 Uncultured bacterium clone D04_4_3c16_Malaga1F_08 small subunit ribosomal RNA gene, partial sequence",604,3,424,70.52,70.75,99.67,141.33,7.07,594.02,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"663|FJ838788.1 Vibrio alginolyticus strain ZJ-51 quorum-sensing II master regulator (valR) gene, complete cds",1424,9,1170,36.5,36.5,100,274,4.56,1396.5,1.00E-26,663,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus
"115547|FJ873238.1 Uncultured archaeon clone aOHTK-20 16S ribosomal RNA gene, partial sequence",610,7,945,31.64,31.75,99.67,315,3.49,587.96,1.00E-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"77133|FJ873280.1 Uncultured bacterium clone bOHTK-10 16S ribosomal RNA gene, partial sequence",1460,10,1365,59.71,60,99.51,166.67,5.78,1427.96,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|FJ873281.1 Uncultured bacterium clone bOHTK-9 16S ribosomal RNA gene, partial sequence",1870,10,1364,79.69,80.72,98.73,123.89,6.78,1837.91,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"577333|AB470961.1 Clostridium sp. r53 gene for 16S rRNA, partial sequence",6212,11,1434,84.52,85.84,98.46,116.49,22.84,6178.09,1.00E-26,577333,Bacteria,unk_k,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium sp. r53
"153939|FM179955.1 Uncultured sulfate-reducing bacterium partial dsrA and dsrB genes for dissimilatory sulfite reductase subunits A and B, clone DSRII-1",1014,13,1724,36.72,37.35,98.29,267.7,3.65,973.85,1.00E-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"641715|FJ889641.1 Photobacterium sp. NF1-15 16S ribosomal RNA gene, partial sequence",12444,11,1509,57.65,57.72,99.89,173.25,32.69,12408.27,1.00E-26,641715,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium,Photobacterium sp. NF1-15
"380688|AB257332.2 Vibrio sp. Do-46 gene for 16S rRNA, partial sequence",816,5,678,59.29,60.03,98.77,166.58,5.73,800.07,1.00E-26,380688,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio sp. Do-46
"559094|EU717070.1 Vibrio sp. R-725 recombination-repair protein (recA) gene, partial cdsEU717071.1 Vibrio sp. R-726 recombination-repair protein (recA) gene, partial cds",966,4,593,94.77,95.28,99.47,104.96,6.55,952.03,1.00E-26,559094,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio sp. R-725
"174329|FJ949381.1 Uncultured Fusobacteria bacterium clone MS-C184 16S ribosomal RNA gene, partial sequence",570,8,1072,27.89,27.99,99.67,357.33,2.52,545.08,1.00E-26,174329,Bacteria,unk_k,Fusobacteria,unk_c,unk_o,unk_f,unk_g,uncultured Fusobacteria bacterium
"77133|CU914834.1 Uncultured bacterium, partial 16S rRNA gene",12204,10,1365,97.88,98.02,99.85,102.02,48.14,12171.68,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|FJ810548.1 Uncultured bacterium clone JMYB12-26 16S ribosomal RNA gene, partial sequence",826,11,1460,20.41,20.55,99.33,486.67,2.64,792.02,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"670|FJ847805.1 Vibrio parahaemolyticus strain K4981 VP1686-like protein gene, partial cds",396,5,705,42.13,42.55,99,235,2.13,379.6,1.00E-26,670,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio parahaemolyticus
"169049|AF352014.2 Vibrio sp. G15-21 alkaline phosphatase gene, complete cds",1502,14,1890,23.39,25.66,91.13,389.69,7.15,1457.78,1.00E-26,641,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,,
"77133|FN296111.1 Uncultured bacterium partial 16S rRNA gene, clone Clueless (52 ROV 8-9) N1A-E06",270,4,521,45.87,46.64,98.35,214.4,1.73,257.9,1.00E-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"34034|GQ267100.1 Uncultured delta proteobacterium clone Mothra_B6-16 16S ribosomal RNA gene, partial sequence",2320,7,922,88.72,89.37,99.27,111.89,13.57,2298.23,1.00E-26,34034,Bacteria,unk_k,Proteobacteria,Deltaproteobacteria,unk_o,unk_f,unk_g,uncultured delta proteobacterium
"166587|GQ267113.1 Uncultured Chloroflexi bacterium clone Mothra_B2-76 16S ribosomal RNA gene, partial sequence",944,7,887,56.48,58.74,96.16,170.25,6.26,923.18,1.00E-26,200795,Bacteria,unk_k,Chloroflexi,unk_c,unk_o,unk_f,,
"658447|GQ260193.1 Shewanella upenei strain 20-23R DNA gyrase B subunit gene, partial cds",4224,9,1170,86.5,87.18,99.22,114.71,15.64,4196.34,1.00E-26,38313,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella algae
"77133|FN434789.1 Uncultured bacterium partial 16S rRNA gene, isolate lagoon june 2008, clone FRA_108_D04_2008-07-08",656,6,876,97.83,97.83,100,102.22,3.12,635.52,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"152509|GQ261807.1 Uncultured Bacteroidetes bacterium clone 70mos_0s_C2 16S ribosomal RNA gene, partial sequence",1138,11,1430,28.74,28.88,99.52,346.25,3.98,1104.54,1.00E-26,152509,Bacteria,unk_k,Bacteroidota,unk_c,unk_o,unk_f,unk_g,uncultured Bacteroidetes bacterium
"115547|GQ356826.1 Uncultured archaeon clone Fe_A_39 16S ribosomal RNA gene, partial sequence",466,7,915,67.32,67.43,99.84,148.3,3.08,444.75,1.00E-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"77133|GQ356930.1 Uncultured bacterium clone Fe_B_113 16S ribosomal RNA gene, partial sequence",1104,11,1492,44.3,44.44,99.7,225.04,3.53,1069.13,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|GQ356942.1 Uncultured bacterium clone Fe_B_125 16S ribosomal RNA gene, partial sequence",7050,11,1473,98.23,98.37,99.86,101.66,21.99,7015.16,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|GQ356945.1 Uncultured bacterium clone Fe_B_128 16S ribosomal RNA gene, partial sequence",1214,11,1479,44.56,44.76,99.55,223.41,4.72,1179.38,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|GQ356952.1 Uncultured bacterium clone Fe_B_135 16S ribosomal RNA gene, partial sequence",1304,12,1529,53.3,53.43,99.76,187.15,4.18,1268.2,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|GQ356954.1 Uncultured bacterium clone Fe_B_137 16S ribosomal RNA gene, partial sequenceGQ356958.1 Uncultured bacterium clone Fe_B_141 16S ribosomal RNA gene, partial sequence",1190,12,1535,46.91,46.97,99.86,212.9,3.63,1154.1,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|GQ356967.1 Uncultured bacterium clone Fe_B_150 16S ribosomal RNA gene, partial sequence",1248,11,1513,50.36,50.5,99.74,198.04,3.63,1212.59,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|GQ356978.1 Uncultured bacterium clone FeSO4_B_163 16S ribosomal RNA gene, partial sequence",13502,12,1530,98.56,98.95,99.6,101.06,40.14,13465.77,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|GQ356983.1 Uncultured bacterium clone FeSO4_B_168 16S ribosomal RNA gene, partial sequence",7894,11,1480,37.5,37.64,99.64,265.71,28.26,7858.98,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|GQ356999.1 Uncultured bacterium clone FeLiveControl_B_17 16S ribosomal RNA gene, partial sequence",1324,11,1473,46.37,46.44,99.85,215.35,4.89,1289.49,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|GQ357021.1 Uncultured bacterium clone FeOrig_B_113 16S ribosomal RNA gene, partial sequence",2922,11,1474,52.51,52.71,99.61,189.7,10.38,2887.24,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|GQ357037.1 Uncultured bacterium clone FeOrig_B_132 16S ribosomal RNA gene, partial sequence",7590,11,1474,93.15,93.76,99.35,106.66,25.08,7555.13,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"115547|GQ357045.1 Uncultured archaeon clone Fe_M_55 methyl coenzyme M reductase subunit alpha gene, partial cds",898,3,482,82.99,84.85,97.8,117.85,7.24,886.64,1.00E-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"115547|GQ357066.1 Uncultured archaeon clone Fe_M_78 methyl coenzyme M reductase subunit alpha gene, partial cds",440,3,482,65.77,67.63,97.24,147.85,4.98,428.7,1.00E-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"115547|GQ357069.1 Uncultured archaeon clone Fe_M_81 methyl coenzyme M reductase subunit alpha gene, partial cds",988,3,482,62.66,64.32,97.42,155.48,8.12,976.63,1.00E-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"115547|GQ357075.1 Uncultured archaeon clone Fe_M_87 methyl coenzyme M reductase subunit alpha gene, partial cds",996,3,482,64.32,65.98,97.48,151.57,12.77,984.63,1.00E-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"115547|GQ357085.1 Uncultured archaeon clone Fe_M_97 methyl coenzyme M reductase subunit alpha gene, partial cds",276,3,482,61.62,62.24,99,160.67,1.87,264.78,1.00E-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"115547|GQ357086.1 Uncultured archaeon clone Fe_M_98 methyl coenzyme M reductase subunit alpha gene, partial cds",270,3,482,48.34,48.76,99.15,205.11,1.87,258.79,1.00E-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"115547|GQ357093.1 Uncultured archaeon clone FeSO4_M_15 methyl coenzyme M reductase subunit alpha gene, partial cds",5958,3,476,80.25,81.3,98.71,123,48.37,5946.73,1.00E-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"115547|GQ357094.1 Uncultured archaeon clone FeSO4_M_16 methyl coenzyme M reductase subunit alpha gene, partial cds",46678,3,476,98.53,100,98.53,100,350.92,46666.72,1.00E-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"115547|GQ357157.1 Uncultured archaeon clone FeOrig_M_76 methyl coenzyme M reductase subunit alpha gene, partial cds",246,3,482,60.37,62.24,97,160.67,2.87,234.81,1.00E-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"115547|GQ357159.1 Uncultured archaeon clone FeOrig_M_78 methyl coenzyme M reductase subunit alpha gene, partial cds",522,3,482,73.03,75.1,97.24,133.15,4.73,510.68,1.00E-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"115547|GQ357165.1 Uncultured archaeon clone FeOrig_M_84 methyl coenzyme M reductase subunit alpha gene, partial cds",622,3,482,84.02,86.31,97.36,115.87,4.69,610.67,1.00E-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"34034|AM888230.1 Uncultured delta proteobacterium partial 16S rRNA gene, clone CT2B287",504,6,861,34.84,34.84,100,287,2.44,483.95,1.00E-26,34034,Bacteria,unk_k,Proteobacteria,Deltaproteobacteria,unk_o,unk_f,unk_g,uncultured delta proteobacterium
"358574|GQ452698.1 Uncultured microorganism clone ERB_1_G11 NifH (nifH) gene, partial cds",264,3,380,50,50,100,200,3.16,255.13,1.00E-26,358574,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured microorganism
"358574|GQ452699.1 Uncultured microorganism clone ERB_1_G3 NifH (nifH) gene, partial cds",1236,3,386,76.42,78.76,97.04,126.97,16.29,1226.88,1.00E-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"358574|GQ452700.1 Uncultured microorganism clone ERB_1_G5 NifH (nifH) gene, partial cds",538,3,422,90.76,91.94,98.71,108.76,7,528.08,1.00E-26,358574,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured microorganism
"358574|GQ452701.1 Uncultured microorganism clone ERB_1_G6 NifH (nifH) gene, partial cds",876,3,386,81.87,83.42,98.14,119.88,12.54,866.89,1.00E-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"358574|GQ452702.1 Uncultured microorganism clone ERB_1_G7 NifH (nifH) gene, partial cds",378,3,389,58.87,61.44,95.82,162.76,5.52,368.88,1.00E-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,,
"358574|GQ452709.1 Uncultured microorganism clone ERB_1_H7 NifH (nifH) gene, partial cds",638,3,386,94.82,100,94.82,100,9.91,628.91,1.00E-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,,
"358574|GQ452717.1 Uncultured microorganism clone ERB_2_B11 NifH (nifH) gene, partial cds",236,2,374,87.97,92.51,95.09,108.09,4.54,227.28,1.00E-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,,
"358574|GQ452734.1 Uncultured microorganism clone ERB_2_D8 NifH (nifH) gene, partial cds",294,3,386,48.96,51.3,95.45,194.95,5.59,284.97,1.00E-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,,
"358574|GQ452741.1 Uncultured microorganism clone ERB_2_E3 NifH (nifH) gene, partial cds",3708,2,370,96.76,100,96.76,100,61.32,3699.24,1.00E-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"358574|GQ452747.1 Uncultured microorganism clone ERB_2_F10 NifH (nifH) gene, partial cds",9518,3,386,96.11,100,96.11,100,130.87,9508.85,1.00E-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,,
"358574|GQ452759.1 Uncultured microorganism clone ERB_2_G2 NifH (nifH) gene, partial cds",420,3,386,93.78,100,93.78,100,7.86,410.94,1.00E-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,,
"358574|GQ452762.1 Uncultured microorganism clone ERB_2_G5 NifH-like (nifH) gene, partial sequence",222,3,388,70.1,73.2,95.77,136.62,3.52,212.97,1.00E-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,,
"358574|GQ452764.1 Uncultured microorganism clone ERB_2_G7 NifH (nifH) gene, partial cds",596,3,389,94.6,100,94.6,100,11.41,586.84,1.00E-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,,
"358574|GQ452771.1 Uncultured microorganism clone ERB_2_H5 NifH (nifH) gene, partial cds",5190,3,422,97.87,100,97.87,100,74.93,5180,1.00E-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"358574|GQ452773.1 Uncultured microorganism clone ERB_2_H7 NifH (nifH) gene, partial cds",236,3,386,89.38,93.26,95.83,107.22,3.54,227.01,1.00E-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,,
"358574|GQ452774.1 Uncultured microorganism clone ERB_2_H8 NifH (nifH) gene, partial cds",632,3,422,95.73,100,95.73,100,9.85,622.07,1.00E-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,,
"669|FJ227113.1 Vibrio harveyi isolate EHP7 16S ribosomal RNA gene, partial sequence",6378,12,1538,34.46,34.59,99.62,289.1,17.91,6341.63,1.00E-26,669,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio harveyi
"77133|AB525445.1 Uncultured bacterium gene for 16S ribosomal RNA, partial sequence, clone: UT06_10_52B_25",4238,11,1457,35.96,35.96,100,278.05,14.03,4203.59,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AB525448.1 Uncultured bacterium gene for 16S ribosomal RNA, partial sequence, clone: UT06_10_52B_28",6954,11,1489,72.4,72.6,99.72,137.74,22.88,6918.78,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AB525454.1 Uncultured bacterium gene for 16S ribosomal RNA, partial sequence, clone: UT06_10_52B_40",9142,11,1425,95.23,95.51,99.71,104.7,36.43,9108.27,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"115547|AB525477.1 Uncultured archaeon gene for 16S ribosomal RNA, partial sequence, clone: UT06_10_52A_53",1588,11,1411,22.61,22.61,100,442.32,4.44,1554.86,1.00E-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"115547|AB525492.1 Uncultured archaeon mcrA gene for methyl coenzyme M reductase alpha subunit, partial cds, clone: UT06_PC10_1mcr21",738,3,439,73.58,75.4,97.58,132.63,6.95,727.66,1.00E-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
