Closest_match,Score,Expected,Template_length,Template_Identity,Template_Coverage,Query_Identity,Query_Coverage,Depth,q_value,p_value,LCA_TaxId,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species
"77133|FJ545576.1 Uncultured bacterium clone S2-55 16S ribosomal RNA gene, partial sequence",1180,0,1503,50.96,51.43,99.09,194.44,3.73,1179.26,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|FJ545584.1 Uncultured bacterium clone S2-67 16S ribosomal RNA gene, partial sequence",1742,0,1491,90.81,91.15,99.63,109.71,5.4,1741.27,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|FJ455969.1 Uncultured bacterium clone 103dsrB06 dissimilatory sulfite reductase subunit A (dsrA) gene, partial cds",750,0,547,98.35,99.82,98.53,100.18,7.32,749.73,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|FJ712402.1 Uncultured bacterium clone KZNMV-0-B4 16S ribosomal RNA gene, partial sequence",1456,0,1393,90.6,91.17,99.37,109.69,5.54,1455.31,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|FJ712421.1 Uncultured bacterium clone KZNMV-0-B34 16S ribosomal RNA gene, partial sequence",1176,0,1393,52.33,52.4,99.86,190.82,3.99,1175.31,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|FJ712426.1 Uncultured bacterium clone KZNMV-0-B42 16S ribosomal RNA gene, partial sequence",12458,0,1518,72.2,72.27,99.91,138.38,36.04,12457.25,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|FJ712432.1 Uncultured bacterium clone KZNMV-0-B49 16S ribosomal RNA gene, partial sequence",952,0,1518,80.3,80.96,99.19,123.52,2.77,951.25,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|FJ712440.1 Uncultured bacterium clone KZNMV-0-B58 16S ribosomal RNA gene, partial sequence",3302,0,1513,99.54,100.0,99.54,100.0,11.74,3301.25,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|FJ712446.1 Uncultured bacterium clone KZNMV-0-B65 16S ribosomal RNA gene, partial sequence",1032,0,1517,42.52,42.65,99.69,234.47,3.16,1031.25,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|FJ712500.1 Uncultured bacterium clone KZNMV-10-B8 16S ribosomal RNA gene, partial sequence",2280,0,1497,65.2,65.33,99.8,153.07,7.52,2279.26,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|FJ712506.1 Uncultured bacterium clone KZNMV-10-B14 16S ribosomal RNA gene, partial sequence",1708,0,1460,91.1,91.71,99.33,109.04,5.89,1707.28,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|FJ712532.1 Uncultured bacterium clone KZNMV-10-B56 16S ribosomal RNA gene, partial sequence",5204,0,1486,94.75,96.23,98.46,103.92,15.0,5203.27,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|FJ712540.1 Uncultured bacterium clone KZNMV-10-B70 16S ribosomal RNA gene, partial sequence",2852,0,1472,99.8,100.0,99.8,100.0,8.28,2851.27,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|FJ712551.1 Uncultured bacterium clone KZNMV-10-B90 16S ribosomal RNA gene, partial sequence",1530,0,1513,89.09,89.29,99.78,111.99,4.19,1529.25,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|FJ716976.1 Uncultured bacterium clone E6_10.3_1 16S ribosomal RNA gene, partial sequence",1238,0,1174,71.12,71.29,99.76,140.26,5.04,1237.42,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|FJ717100.1 Uncultured bacterium clone A11_10.2_2 16S ribosomal RNA gene, partial sequence",3724,0,1510,93.51,93.51,100.0,106.94,10.57,3723.26,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|FJ717137.1 Uncultured bacterium clone B12_10.3_1 16S ribosomal RNA gene, partial sequence",864,0,1510,68.21,68.68,99.32,145.61,2.86,863.26,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|FJ717157.1 Uncultured bacterium clone A8_10.4_1 16S ribosomal RNA gene, partial sequence",2246,0,1512,75.2,75.46,99.65,132.52,7.49,2245.25,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|FJ717179.1 Uncultured bacterium clone G1_10.4_1 16S ribosomal RNA gene, partial sequence",6150,0,1510,90.99,93.44,97.38,107.02,20.69,6149.26,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"77133|FJ717221.1 Uncultured bacterium clone F9_10.3_1 16S ribosomal RNA gene, partial sequence",854,0,1177,53.7,54.21,99.06,184.48,3.71,853.42,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|FJ717238.1 Uncultured bacterium clone A10_10.4_2 16S ribosomal RNA gene, partial sequence",1108,0,1498,87.78,88.45,99.25,113.06,3.2,1107.26,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|FJ712566.1 Uncultured bacterium clone KZNMV-25-B15 16S ribosomal RNA gene, partial sequence",1358,0,1470,34.35,34.56,99.41,289.37,4.04,1357.28,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"115555|FN257753.1 Halomonas axialensis 23S rRNA gene, strain CECT 5812",6650,0,2914,93.75,94.78,98.91,105.5,13.36,6648.56,1e-26,115555,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,Halomonas axialensis
"77133|FJ754197.1 Uncultured bacterium clone A11_16SB88 16S ribosomal RNA gene, partial sequence",736,0,944,83.26,84.0,99.12,119.04,3.81,735.53,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|FJ754205.1 Uncultured bacterium clone A11_16SB24 16S ribosomal RNA gene, partial sequence",1088,0,1000,97.1,99.9,97.2,100.1,5.91,1087.51,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"77133|FJ746315.1 Uncultured bacterium clone SPG12_60_70_B65 16S ribosomal RNA gene, partial sequence",746,0,1449,81.57,82.06,99.41,121.87,2.28,745.29,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
98222|FJ822663.1 Alaria nana clone Tat3-An133 microsatellite sequence,320,0,318,42.77,47.17,90.67,212.0,0.47,319.84,1e-26,2887,Eukaryota,unk_k,unk_p,Phaeophyceae,Laminariales,Alariaceae,,
"77133|FJ873309.1 Uncultured bacterium clone bOHTK-54 16S ribosomal RNA gene, partial sequence",1038,0,1404,73.58,74.36,98.95,134.48,3.46,1037.31,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|GQ143799.1 Uncultured bacterium clone JJB347 16S ribosomal RNA gene, partial sequence",866,0,1492,73.86,74.33,99.37,134.54,3.06,865.26,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"254004|GQ250708.1 Uncultured ammonia-oxidizing beta proteobacterium clone MC118_AOB1-7 ammonia monooxygenase subunit A (amoA) gene, partial cds",274,0,489,89.16,89.16,100.0,112.16,2.73,273.76,1e-26,254004,Bacteria,unk_k,Proteobacteria,Betaproteobacteria,unk_o,unk_f,unk_g,uncultured ammonia-oxidizing beta proteobacterium
"77133|GQ259276.1 Uncultured bacterium clone sediment_deep16 16S ribosomal RNA gene, partial sequence",766,0,1439,94.37,95.34,98.98,104.88,2.84,765.29,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"114706|GQ249480.1 Uncultured Acidobacterium sp. clone A16 16S ribosomal RNA gene, partial sequence",1050,0,1518,71.87,72.92,98.55,137.13,3.69,1049.25,1e-26,114706,Bacteria,unk_k,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Acidobacterium,uncultured Acidobacterium sp.
"34034|GQ267100.1 Uncultured delta proteobacterium clone Mothra_B6-16 16S ribosomal RNA gene, partial sequence",2140,0,922,97.07,98.05,99.0,101.99,12.68,2139.55,1e-26,34034,Bacteria,unk_k,Proteobacteria,Deltaproteobacteria,unk_o,unk_f,unk_g,uncultured delta proteobacterium
"77133|GQ246315.1 Uncultured bacterium clone Sd1-34 16S ribosomal RNA gene, partial sequence",780,0,1519,63.33,63.4,99.9,157.74,2.34,779.25,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|GQ246378.1 Uncultured bacterium clone Cm1-41 16S ribosomal RNA gene, partial sequence",10908,0,1519,99.67,100.0,99.67,100.0,36.1,10907.25,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|GQ246393.1 Uncultured bacterium clone Cm1-56 16S ribosomal RNA gene, partial sequence",852,0,1516,44.59,44.66,99.85,223.93,2.77,851.25,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|GQ246402.1 Uncultured bacterium clone Ld1-7 16S ribosomal RNA gene, partial sequence",4026,0,1502,94.94,95.01,99.93,105.26,12.9,4025.26,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|GQ246437.1 Uncultured bacterium clone Ld1-42 16S ribosomal RNA gene, partial sequence",1774,0,1491,98.19,98.79,99.39,101.22,5.94,1773.27,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|GQ246446.1 Uncultured bacterium clone Ld1-51 16S ribosomal RNA gene, partial sequence",8684,0,1523,98.1,98.88,99.2,101.13,26.92,8683.25,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
360281|GQ234082.1 Uncultured marine organism clone IOBCBE001_09-D01-SP6.ab1 genomic sequence,584,0,850,99.29,100.0,99.29,100.0,3.12,583.58,1e-26,360281,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured marine organism
360281|GQ234485.1 Uncultured marine organism clone IOBCBE001_12-B02-SP6.ab1 genomic sequence,474,0,816,84.44,85.05,99.28,117.58,2.57,473.6,1e-26,360281,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured marine organism
360281|GQ235721.1 Uncultured marine organism clone IOBCBE001_20-C11-T7.ab1 genomic sequence,716,0,829,91.07,92.28,98.69,108.37,3.84,715.59,1e-26,360281,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured marine organism
360281|GQ237122.1 Uncultured marine organism clone IOBCBE001_31-A02-T7.ab1 genomic sequence,570,0,884,82.69,84.5,97.86,118.34,3.02,569.56,1e-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
360281|GQ237233.1 Uncultured marine organism clone IOBCBE001_32-A06-SP6.ab1 genomic sequence,598,0,863,92.7,94.09,98.52,106.28,3.03,597.57,1e-26,360281,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured marine organism
360281|GQ237919.1 Uncultured marine organism clone IOBCBE001_37-B08-SP6.ab1 genomic sequence,578,0,679,91.16,94.11,96.87,106.26,3.92,577.67,1e-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
360281|GQ238345.1 Uncultured marine organism clone IOBCBE001_40-F09-T7.ab1 genomic sequence,454,0,863,69.18,70.68,97.87,141.48,2.43,453.57,1e-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
360281|GQ239011.1 Uncultured marine organism clone IOBCBE001_46-E08-T7.ab1 genomic sequence,848,0,864,96.88,97.92,98.94,102.13,4.71,847.57,1e-26,360281,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured marine organism
360281|GQ239927.1 Uncultured marine organism clone IOBCBE001_53-D02-SP6.ab1 genomic sequence,546,0,885,92.32,92.77,99.51,107.8,2.99,545.56,1e-26,360281,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured marine organism
360281|GQ239928.1 Uncultured marine organism clone IOBCBE001_53-D02-T7.ab1 genomic sequence,946,0,804,99.0,100.0,99.0,100.0,5.46,945.6,1e-26,360281,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured marine organism
"278132|FN431787.1 Loktanella hongkongensis partial 16S rRNA gene, isolate AMV18",818,0,1439,88.12,88.12,100.0,113.49,2.89,817.29,1e-26,278132,Bacteria,unk_k,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Limimaricola,Limimaricola hongkongensis
"115547|GQ356878.1 Uncultured archaeon clone FeLiveControl_A_69 16S ribosomal RNA gene, partial sequence",560,0,944,87.61,87.61,100.0,114.15,3.49,559.53,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"77133|GQ356932.1 Uncultured bacterium clone Fe_B_115 16S ribosomal RNA gene, partial sequence",5806,0,1621,99.94,100.0,99.94,100.0,16.08,5805.2,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|GQ356942.1 Uncultured bacterium clone Fe_B_125 16S ribosomal RNA gene, partial sequence",2392,0,1473,91.04,91.38,99.63,109.44,7.72,2391.27,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|GQ356962.1 Uncultured bacterium clone Fe_B_145 16S ribosomal RNA gene, partial sequence",788,0,1500,71.2,71.27,99.91,140.32,2.4,787.26,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|GQ356967.1 Uncultured bacterium clone Fe_B_150 16S ribosomal RNA gene, partial sequence",1578,0,1513,76.73,77.2,99.4,129.54,4.98,1577.25,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|GQ356983.1 Uncultured bacterium clone FeSO4_B_168 16S ribosomal RNA gene, partial sequence",1642,0,1480,57.16,57.3,99.76,174.53,5.84,1641.27,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|GQ356985.1 Uncultured bacterium clone FeSO4_B_2 16S ribosomal RNA gene, partial sequence",1002,0,1521,86.98,87.51,99.4,114.27,3.0,1001.25,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|GQ356999.1 Uncultured bacterium clone FeLiveControl_B_17 16S ribosomal RNA gene, partial sequence",2642,0,1473,60.96,61.1,99.78,163.67,9.35,2641.27,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|GQ357017.1 Uncultured bacterium clone FeOrig_B_108 16S ribosomal RNA gene, partial sequence",1104,0,1513,83.87,84.67,99.06,118.11,3.56,1103.25,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|GQ357021.1 Uncultured bacterium clone FeOrig_B_113 16S ribosomal RNA gene, partial sequence",7220,0,1474,83.85,84.8,98.88,117.92,25.39,7219.27,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|GQ357033.1 Uncultured bacterium clone FeOrig_B_125 16S ribosomal RNA gene, partial sequence",11812,0,1518,99.87,100.13,99.74,99.87,34.83,11811.25,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|GQ357034.1 Uncultured bacterium clone FeOrig_B_129 16S ribosomal RNA gene, partial sequence",1566,0,1473,50.31,50.37,99.87,198.52,5.63,1565.27,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|GQ357036.1 Uncultured bacterium clone FeOrig_B_131 16S ribosomal RNA gene, partial sequence",1050,0,1472,46.54,46.6,99.85,214.58,3.46,1049.27,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|GQ357037.1 Uncultured bacterium clone FeOrig_B_132 16S ribosomal RNA gene, partial sequence",840,0,1474,45.66,46.0,99.26,217.4,2.63,839.27,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"56765|FN396715.1 Uncultured marine bacterium partial 16S rRNA gene, clone s5_8_III_18",1286,0,1391,95.69,96.41,99.25,103.73,4.7,1285.31,1e-26,56765,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured marine bacterium
"34034|GQ850566.1 Uncultured delta proteobacterium clone d83 16S ribosomal RNA gene, partial sequence",780,0,1511,74.26,74.72,99.38,133.84,2.38,779.26,1e-26,34034,Bacteria,unk_k,Proteobacteria,Deltaproteobacteria,unk_o,unk_f,unk_g,uncultured delta proteobacterium
"77133|GQ850570.1 Uncultured bacterium clone d110 16S ribosomal RNA gene, partial sequence",860,0,1435,96.24,97.77,98.43,102.28,3.45,859.29,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|GQ866093.1 Uncultured bacterium clone F1-2 16S ribosomal RNA gene, partial sequence",760,0,1497,50.77,51.5,98.57,194.16,2.26,759.26,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"681625|GQ914732.1 Streptomyces sp. GS11 cellulase gene, partial cdsHM235800.1 Uncultured bacterium clone AM11 cellulase gene, partial cds",512,0,1022,76.13,76.22,99.87,131.19,2.05,511.5,1e-26,681625,Bacteria,unk_k,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp. GS11
"77133|AB530207.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: Tokyo.16S.Bac.7",25422,0,1500,99.93,100.0,99.93,100.0,71.65,25421.26,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AB530212.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: Tokyo.16S.Bac.12",944,0,1521,51.08,51.41,99.36,194.5,2.83,943.25,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AB530219.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: Tokyo.16S.Bac.19",780,0,1533,76.26,76.91,99.15,130.03,2.39,779.24,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AB530225.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: Tokyo.16S.Bac.25",796,0,1511,46.0,46.26,99.43,216.17,2.22,795.26,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AB530227.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: Tokyo.16S.Bac.27",764,0,1520,71.64,73.03,98.11,136.94,3.05,763.25,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"663|EU484572.1 Vibrio alginolyticus alkaline serine protease (asp) gene, complete cds",1434,0,2450,73.27,73.76,99.34,135.58,2.33,1432.79,1e-26,663,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus
"77133|GQ921354.1 Uncultured bacterium clone BE326ant14a06 16S ribosomal RNA gene, partial sequenceJF775502.1 Pseudomonas pachastrellae strain C3 16S ribosomal RNA gene, partial sequence",1822,0,1495,95.59,95.59,100.0,104.62,5.19,1821.26,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"86473|FJ497535.1 Uncultured gamma proteobacterium clone VS_CL-283 16S ribosomal RNA gene, partial sequence",1062,0,1450,79.52,79.93,99.48,125.11,3.3,1061.29,1e-26,86473,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,unk_o,unk_f,unk_g,uncultured Gammaproteobacteria bacterium
"77133|GU196044.1 Uncultured bacterium clone pTVGB25 16S ribosomal RNA gene, partial sequence",436,0,784,74.49,75.0,99.32,133.33,3.06,435.61,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|GQ160463.1 Uncultured bacterium clone HERMI06 23S ribosomal RNA gene, partial sequence",2634,0,1701,67.14,72.13,93.07,138.63,11.78,2633.16,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,
"77133|GQ160466.1 Uncultured bacterium clone HERMI30 23S ribosomal RNA gene, partial sequence",1578,0,1877,62.92,65.58,95.94,152.48,6.15,1577.07,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,
"77133|GU220755.1 Uncultured bacterium clone ELSC-TVG13-B50 16S ribosomal RNA gene, partial sequence",1760,0,1461,91.44,91.79,99.63,108.95,5.86,1759.28,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"759664|AM997406.1 Uncultured deep-sea bacterium 16S rRNA gene, clone Ucn1526",18224,0,1470,98.91,98.98,99.93,101.03,60.73,18223.28,1e-26,759664,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured deep-sea bacterium
"759664|AM997509.1 Uncultured deep-sea bacterium 16S rRNA gene, clone UncDeep7",1426,0,1501,83.88,84.21,99.6,118.75,4.62,1425.26,1e-26,759664,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured deep-sea bacterium
"759664|AM997634.1 Uncultured deep-sea bacterium 16S rRNA gene, clone Ucp1511",4320,0,1455,90.31,90.38,99.92,110.65,13.6,4319.28,1e-26,759664,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured deep-sea bacterium
"759664|AM997806.1 Uncultured deep-sea bacterium 16S rRNA gene, clone Ucb15545",912,0,1498,89.19,90.19,98.89,110.88,3.02,911.26,1e-26,759664,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured deep-sea bacterium
"759664|AM997808.1 Uncultured deep-sea bacterium 16S rRNA gene, clone Ucb15152",3528,0,1459,99.79,100.0,99.79,100.0,11.63,3527.28,1e-26,759664,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured deep-sea bacterium
"759664|AM997859.1 Uncultured deep-sea bacterium 16S rRNA gene, clone Ucb15697",818,0,1513,69.27,69.33,99.9,144.23,2.36,817.25,1e-26,759664,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured deep-sea bacterium
"384764|FN421147.1 Uncultured Thermomicrobia bacterium partial 16S rRNA gene, clone GoM87_Bac25",1062,0,769,93.11,93.63,99.44,106.81,6.45,1061.62,1e-26,384764,Bacteria,unk_k,Chloroflexi,Thermomicrobia,unk_o,unk_f,unk_g,uncultured Thermomicrobia bacterium
"77133|FN421149.1 Uncultured bacterium partial 16S rRNA gene, clone GoM87_Bac29",642,0,780,71.67,71.92,99.64,139.04,3.83,641.62,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"120858|FN421152.1 Uncultured epsilon proteobacterium partial 16S rRNA gene, clone GoM87_Bac33",1308,0,711,93.25,93.39,99.85,107.08,8.64,1307.65,1e-26,120858,Bacteria,unk_k,Proteobacteria,Epsilonproteobacteria,unk_o,unk_f,unk_g,uncultured Epsilonproteobacteria bacterium
"34034|FN421206.1 Uncultured delta proteobacterium partial 16S rRNA gene, clone GoM87_Bac106",368,0,730,68.22,68.77,99.2,145.42,2.04,367.64,1e-26,34034,Bacteria,unk_k,Proteobacteria,Deltaproteobacteria,unk_o,unk_f,unk_g,uncultured delta proteobacterium
"384764|FN421226.1 Uncultured Thermomicrobia bacterium partial 16S rRNA gene, clone GoM87_Bac134",500,0,524,90.65,91.03,99.58,109.85,5.36,499.74,1e-26,384764,Bacteria,unk_k,Chloroflexi,Thermomicrobia,unk_o,unk_f,unk_g,uncultured Thermomicrobia bacterium
"56765|GU317780.1 Uncultured marine bacterium clone B2E6 16S ribosomal RNA gene, partial sequence",602,0,783,71.78,71.9,99.82,139.08,4.21,601.61,1e-26,56765,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured marine bacterium
"198431|GU208477.1 Uncultured prokaryote clone Shc3-12 16S ribosomal RNA gene, partial sequence",946,0,1479,33.6,33.74,99.6,296.39,2.84,945.27,1e-26,198431,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured prokaryote
"86473|GU230362.1 Uncultured gamma proteobacterium clone ARTE12_214 16S ribosomal RNA gene, partial sequence",452,0,757,78.73,79.39,99.17,125.96,2.77,451.63,1e-26,86473,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,unk_o,unk_f,unk_g,uncultured Gammaproteobacteria bacterium
"710192|AB542077.1 Arcobacter haliotis gene for 16S ribosomal RNA, partial sequence",804,0,1477,88.22,88.96,99.16,112.4,2.58,803.27,1e-26,1904463,Bacteria,unk_k,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Arcobacteraceae,Poseidonibacter,Poseidonibacter lekithochrous
"77133|GU292302.1 Uncultured bacterium clone B176T-133 16S ribosomal RNA gene, partial sequence",712,0,605,90.25,92.07,98.03,108.62,6.39,711.7,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"663|GU318323.1 Vibrio alginolyticus strain EpGS020803 outer membrane protein K (ompK) gene, complete cds",494,0,846,95.63,95.63,100.0,104.57,2.44,493.58,1e-26,663,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus
"115547|GU190970.1 Uncultured archaeon clone MatB0arc19 16S ribosomal RNA, partial sequence",1118,0,1421,88.25,88.25,100.0,113.32,3.96,1117.3,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"77133|GU302431.1 Uncultured bacterium clone MatB0bac94 16S ribosomal RNA, partial sequence",16608,0,1522,99.8,100.0,99.8,100.0,50.22,16607.25,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
