Closest_match,Score,Expected,Template_length,Template_Identity,Template_Coverage,Query_Identity,Query_Coverage,Depth,q_value,p_value,LCA_TaxId,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species
4932|X00149.1 Saccharomyces cerevisiae mt 21s rRNA gene r1-intron,1410,4,1276,23.51,23.51,100.0,425.33,7.41,1395.69,1e-26,4932,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,Saccharomyces cerevisiae
"29570|AB367235.1 Halomonas meridiana genes for 16S ribosomal RNA, internal transcribed spacer 1 and 23S ribosomal RNA, partial and complete sequence, clone: 1204",4598,4,1204,29.82,30.98,96.25,322.79,18.42,4584.46,1e-26,28256,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,,
"115547|AB362193.1 Uncultured archaeon nifH, nifI1, nifI2, nifD, nifK genes for dinitrogenase reductase, nitrogen regulatory protein P-II, P-II family nitrogen regulatory protein, dinitrogenase alpha subunit, dinitrogenase beta subunit, partial and complete cds, clone: K8MV-C2nifHK1_04",123174,10,2922,95.79,98.84,96.92,101.18,278.85,123141.1,1e-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"115547|AB362194.1 Uncultured archaeon nifH, nifI1, nifI2, nifD, nifK genes for dinitrogenase reductase, nitrogen regulatory protein P-II, P-II family nitrogen regulatory protein, dinitrogenase alpha subunit, dinitrogenase beta subunit, partial and complete cds, clone: K8MV-C2nifHK1_08",3974,11,3029,33.08,35.13,94.17,284.68,10.61,3940.02,1e-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,,
"115547|AB362195.1 Uncultured archaeon nifH, nifI1, nifI2, nifD, nifK genes for dinitrogenase reductase, nitrogen regulatory protein P-II, P-II family nitrogen regulatory protein, dinitrogenase alpha subunit, dinitrogenase beta subunit, partial and complete cds, clone: K8MV-C2nifHK1_11",534550,10,2922,97.98,100.0,97.98,100.0,1095.22,534517.12,1e-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"115547|AB362196.1 Uncultured archaeon nifH, nifI1, nifI2, nifD, nifK genes for dinitrogenase reductase, nitrogen regulatory protein P-II, P-II family nitrogen regulatory protein, dinitrogenase alpha subunit, dinitrogenase beta subunit, partial and complete cds, clone: K8MV-C2nifHK1_21",711116,10,2922,98.39,100.0,98.39,100.0,1419.52,711083.13,1e-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"115547|AB362197.1 Uncultured archaeon nifH, nifI1, nifI2, nifD, nifK genes for dinitrogenase reductase, nitrogen regulatory protein P-II, P-II family nitrogen regulatory protein, dinitrogenase alpha subunit, dinitrogenase beta subunit, partial and complete cds, clone: K8MV-C2nifHK1_40",20256,11,3030,53.86,56.96,94.55,175.55,51.04,20221.9,1e-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,,
"115547|AB362203.1 Uncultured archaeon mcrA gene for methyl-coenzyme M reductase alpha subunit, partial cds, clone: K8MV-C26mcrA-07",4558,2,722,44.88,45.71,98.18,218.79,26.36,4549.88,1e-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"115547|AB362204.1 Uncultured archaeon mcrA gene for methyl-coenzyme M reductase alpha subunit, partial cds, clone: K8MV-C26mcrA-14",69426,2,734,95.64,97.14,98.46,102.95,463.49,69417.74,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"115547|AB362396.1 Uncultured archaeon nifH gene for dinitrogenase reductase, partial cds, clone: K8MV-C22nifH_01",16046,1,340,100.0,100.0,100.0,100.0,196.68,16042.17,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"115547|AB362397.1 Uncultured archaeon nflH gene for dinitrogenase reductase-like protein, partial cds, clone: K8MV-C22nifH_05",3214,1,334,87.72,89.52,97.99,111.71,46.34,3210.24,1e-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"115547|AB362399.1 Uncultured archaeon nflH gene for dinitrogenase reductase-like protein, partial cds, clone: K8MV-C24nifH_22",1088,1,334,79.34,85.03,93.31,117.61,28.52,1084.24,1e-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,,
"115547|AB362403.1 Uncultured archaeon nifH gene for dinitrogenase reductase, partial cds, clone: K8MV-C28nifH_03",566,1,337,69.73,72.7,95.92,137.55,11.57,562.22,1e-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,,
"115547|AB362404.1 Uncultured archaeon nifH gene for dinitrogenase reductase, partial cds, clone: K8MV-C28nifH_06",5020,1,343,97.38,97.38,100.0,102.69,68.67,5016.14,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"77133|AB364355.1 Uncultured bacterium gene for 16S rRNA, partial seqeunce, clone: ODP1251AQB1.38",742,1,440,38.86,38.86,100.0,257.31,8.67,737.06,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|EU385684.1 Uncultured bacterium clone MD2896-B64 16S ribosomal RNA gene, partial sequence",7698,5,1487,53.46,53.53,99.87,186.81,25.11,7681.27,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|EU385714.1 Uncultured bacterium clone MD2896-B106 16S ribosomal RNA gene, partial sequence",3498,5,1430,20.63,20.98,98.33,476.67,13.18,3481.93,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"77133|AB426402.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: BJS960-06",3132,3,955,60.73,60.94,99.66,164.09,13.5,3121.26,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AB426438.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: BJS960-73",1782,3,850,49.65,50.47,98.37,198.14,15.17,1772.45,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"183757|EU496890.1 Uncultured Methanosarcinales archaeon clone mcrA 2-12 methyl-coenzyme M reductase alpha subunit gene, partial cds",2092,2,776,58.76,60.7,96.82,164.76,8.6,2083.28,1e-26,94695,Archaea,unk_k,Euryarchaeota,Methanomicrobia,Methanosarcinales,unk_f,unk_g,
"115547|EU496891.1 Uncultured archaeon clone mcrA 2-61 methyl-coenzyme M reductase alpha subunit gene, partial cds",107870,2,776,97.55,99.61,97.93,100.39,628.66,107861.26,1e-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"77133|EU491553.1 Uncultured bacterium clone EPR4059-B2-Bc51 16S ribosomal RNA gene, partial sequence",5286,5,1418,20.66,21.16,97.67,472.67,15.37,5270.05,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"77133|EU491807.1 Uncultured bacterium clone EPR3967-O2-Bc60 16S ribosomal RNA gene, partial sequence",928,5,1478,19.96,20.3,98.33,492.67,3.04,911.49,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"77133|EU283586.1 Uncultured bacterium clone A216 16S ribosomal RNA gene, partial sequence",988,4,1293,22.04,23.2,95.0,431.0,5.1,973.53,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,
"116093|AB365799.1 Pseudoalteromonas sp. A28 espI gene for extracellular serine protease, complete cds",2910,9,2643,19.33,20.54,94.11,486.74,8.85,2880.37,1e-26,267888,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,,
"77133|EF687210.1 Uncultured bacterium clone 102B48 16S ribosomal RNA gene, partial sequence",2770,2,624,48.08,48.08,100.0,208.0,19.23,2762.98,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"358574|EU647353.1 Uncultured microorganism clone ERB_4D NifH (nifH) gene, partial cds",21090,1,423,95.51,100.0,95.51,100.0,312.37,21085.24,1e-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,,
"358574|EU647354.1 Uncultured microorganism clone ERB_8B NifH (nifH) gene, partial cds",2740,1,423,90.54,95.04,95.27,105.22,44.61,2735.24,1e-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,,
"333802|DQ026025.1 Oceanimonas sp. 21 16S ribosomal RNA gene and 16S-23S ribosomal RNA intergenic spacer, complete sequence; and 23S ribosomal RNA gene, partial sequence",16286,6,1834,31.03,31.52,98.44,317.3,41.38,16265.36,1e-26,333802,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Oceanimonas,Oceanimonas sp. 21
"77133|AM745139.1 Uncultured bacterium partial 16S rRNA gene, clone GoM161_Bac23",3708,5,1461,33.13,33.61,98.57,297.56,18.1,3691.58,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AM745196.1 Uncultured bacterium partial 16S rRNA gene, clone GoM_GC232_4463_Bac72",7796,2,733,66.58,69.17,96.25,144.58,68.82,7787.75,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,
"34034|AM745206.1 Uncultured delta proteobacterium partial 16S rRNA gene, clone GoM_GC232_4463_Bac23",8798,5,1533,53.62,54.08,99.16,184.92,26.74,8780.75,1e-26,34034,Bacteria,unk_k,Proteobacteria,Deltaproteobacteria,unk_o,unk_f,unk_g,uncultured delta proteobacterium
"114243|AM745256.1 Uncultured euryarchaeote partial 16S rRNA gene, clone GoM_GC232_4463_Arch36",23038,5,1358,58.32,58.32,100.0,171.46,93.86,23022.71,1e-26,114243,Archaea,unk_k,Euryarchaeota,unk_c,unk_o,unk_f,unk_g,uncultured euryarchaeote
"77133|AM746068.1 Uncultured bacterium partial 16S rRNA gene, clone GoM140_Bac25",5456,2,724,41.44,41.44,100.0,241.33,35.21,5447.85,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"291196|AM746080.1 Uncultured candidate division OP5 bacterium partial 16S rRNA gene, clone GoM140_Bac65",1810,2,687,47.74,48.18,99.09,207.55,10.92,1802.28,1e-26,291196,Bacteria,unk_k,Caldiserica,unk_c,unk_o,unk_f,unk_g,uncultured Caldiserica bacterium
"34034|AM746083.1 Uncultured delta proteobacterium partial 16S rRNA gene, clone GoM140_Bac22",3858,5,1529,27.4,27.47,99.76,364.05,14.76,3840.81,1e-26,34034,Bacteria,unk_k,Proteobacteria,Deltaproteobacteria,unk_o,unk_f,unk_g,uncultured delta proteobacterium
"114243|AM746095.1 Uncultured euryarchaeote partial 16S rRNA gene, clone GoM140_Arch42",12124,5,1346,30.91,30.91,100.0,323.56,41.62,12108.85,1e-26,114243,Archaea,unk_k,Euryarchaeota,unk_c,unk_o,unk_f,unk_g,uncultured euryarchaeote
"114243|AM746097.1 Uncultured euryarchaeote partial 16S rRNA gene, clone GoM140_Arch51AM746108.1 Uncultured euryarchaeote partial 16S rRNA gene, clone GoM140_Arch80",221632,5,1358,98.01,98.01,100.0,102.03,772.15,221616.71,1e-26,114243,Archaea,unk_k,Euryarchaeota,unk_c,unk_o,unk_f,unk_g,uncultured euryarchaeote
"663|EU625284.1 Vibrio alginolyticus agglutination protein gene, partial cds",1406,4,1275,22.04,22.04,100.0,453.74,5.17,1391.71,1e-26,663,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus
"120858|EU729320.1 Uncultured epsilon proteobacterium clone B3 16S ribosomal RNA gene, partial sequence",332,1,501,33.93,34.93,97.14,286.29,3.75,326.4,1e-26,29547,Bacteria,unk_k,Proteobacteria,Epsilonproteobacteria,unk_o,unk_f,unk_g,
"77133|EU746761.1 Uncultured bacterium clone TB3_26 16S ribosomal RNA gene, partial sequence",2352,3,934,62.63,63.38,98.82,157.77,17.02,2341.5,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"115547|EU713924.1 Uncultured archaeon clone 25H-0N-3 dinitrogenase reductase (nifH) gene, partial cds",1078,1,380,73.42,77.37,94.9,129.25,16.97,1073.73,1e-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,,
"115547|EU713979.1 Uncultured archaeon clone 40H-0N-15 dinitrogenase reductase (nifH) gene, partial cds",1252,1,386,71.5,73.58,97.18,135.92,16.52,1247.66,1e-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"115547|EU713982.1 Uncultured archaeon clone 40H-0N-18 dinitrogenase reductase (nifH) gene, partial cds",2592,1,386,80.31,83.16,96.57,120.25,40.46,2587.66,1e-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"115547|EU713990.1 Uncultured archaeon clone 40H-0N-26 dinitrogenase reductase (nifH) gene, partial cds",9512,1,389,96.92,100.0,96.92,100.0,140.13,9507.62,1e-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"77133|EU481706.1 Uncultured bacterium clone B4-3 16S ribosomal RNA gene, partial sequence",1948,3,994,41.05,41.25,99.51,242.44,8.74,1936.83,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"153939|EU779900.1 Uncultured sulfate-reducing bacterium clone GOMGC2B09F DsrA (dsrA) gene, partial cds",918,2,700,28.29,29.0,97.54,344.83,6.38,910.15,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"77133|EU438568.1 Uncultured bacterium clone D030-W1-7 16S ribosomal RNA gene, partial sequence",2704,3,824,36.41,36.41,100.0,274.67,13.79,2694.73,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|EU925835.1 Uncultured bacterium clone 004E7 16S ribosomal RNA gene, partial sequence",6502,5,1442,37.73,37.93,99.45,263.62,19.61,6485.78,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"24|EU014573.1 Shewanella putrefaciens strain ATCC 49138 16S-23S ribosomal RNA intergenic spacer, complete sequence",814,1,338,48.22,48.82,98.79,204.85,9.76,810.2,1e-26,24,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella putrefaciens
"24|EU014591.1 Shewanella putrefaciens strain BCRC 15549 16S-23S ribosomal RNA intergenic spacer, complete sequence",466,3,902,27.94,28.49,98.05,350.97,4.35,455.94,1e-26,22,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,
"166587|AB433047.1 Uncultured Chloroflexi bacterium gene for 16S rRNA, partial sequence, clone: IODP1319B11.19",446,3,852,29.11,29.23,99.6,342.17,3.17,436.5,1e-26,166587,Bacteria,unk_k,Chloroflexi,unk_c,unk_o,unk_f,unk_g,uncultured Chloroflexi bacterium
"166587|AB448903.1 Uncultured Chloroflexi bacterium gene for 16S rRNA, partial sequence, clone: IODP1324B3H2.70",1004,3,861,34.03,34.84,97.67,287.0,9.76,994.34,1e-26,200795,Bacteria,unk_k,Chloroflexi,unk_c,unk_o,unk_f,unk_g,
"77133|FM179858.1 Uncultured bacterium partial 16S rRNA gene, clone Tomm05_1274_3_Arch43",5816,5,1358,41.16,41.24,99.82,242.5,19.51,5800.72,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"115547|FM179893.1 Uncultured archaeon partial 16S rRNA gene, clone Tomm05_1274_3_Arch42",7152,5,1364,52.79,52.93,99.72,188.92,28.05,7136.65,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"115547|AB461389.1 Uncultured archaeon gene for 16S rRNA, partial sequence, clone: ANME1PC",24886,5,1412,50.64,50.64,100.0,197.48,79.8,24870.1,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"115547|AB461393.1 Uncultured archaeon gene for 16S rRNA, partial sequence, clone: ANME3PC",2384,5,1402,21.4,21.4,100.0,467.33,8.55,2368.26,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"34034|AM713446.1 Uncultured delta proteobacterium partial 16S rRNA gene, clone ODP204_26_SeepSRB2_5",29978,5,1393,95.98,96.27,99.7,103.88,89.39,29962.32,1e-26,34034,Bacteria,unk_k,Proteobacteria,Deltaproteobacteria,unk_o,unk_f,unk_g,uncultured delta proteobacterium
"115547|AM713449.1 Uncultured archaeon partial 16S rRNA gene, clone ODP204_26_ArchU194",5564,5,1358,22.09,22.09,100.0,452.67,20.73,5548.73,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"487808|EU251615.1 Pseudoalteromonas sp. R-231 urydilate kinase (pyrH) gene, partial cds",514,1,405,42.22,42.22,100.0,236.84,4.36,509.46,1e-26,487808,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas sp. R-231
"663|FJ177527.1 Vibrio alginolyticus putative outer membrane protein (va1632) gene, complete cds",3052,2,642,39.56,40.19,98.45,248.84,25.69,3044.78,1e-26,663,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus
"77133|FJ264786.1 Uncultured bacterium clone so4B6 16S ribosomal RNA gene, partial sequence",14338,5,1525,47.08,47.08,100.0,212.4,46.35,14320.84,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"153939|FJ403875.1 Uncultured sulfate-reducing bacterium clone 40H-260D-24 dissimilatory sulfite reductase subunit A (dsrA) gene, partial cds",18296,3,873,78.24,81.9,95.52,122.1,100.75,18286.17,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,
"153939|FJ403970.1 Uncultured sulfate-reducing bacterium clone 40H-100D-23 dissimilatory sulfite reductase subunit A (dsrA) gene, partial cds",1356,3,921,32.36,32.57,99.33,307.0,6.19,1345.66,1e-26,153939,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured sulfate-reducing bacterium
"115547|FJ403617.1 Uncultured archaeon clone 40H-0A-8 methyl-coenzyme M reductase alpha subunit (mcrA) gene, partial cds",6982,2,762,46.98,47.11,99.72,212.26,30.61,6973.42,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"115547|FJ403656.1 Uncultured archaeon clone 25H-200A-5 methyl-coenzyme M reductase alpha subunit (mcrA) gene, partial cds",13004,2,780,62.05,63.08,98.37,158.54,57.64,12995.22,1e-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"115547|FJ403676.1 Uncultured archaeon clone 40H-100A-10 methyl-coenzyme M reductase alpha subunit (mcrA) gene, partial cds",6150,2,774,45.61,46.51,98.06,215.0,34.16,6141.29,1e-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"115547|FJ403681.1 Uncultured archaeon clone 40H-100A-15 methyl-coenzyme M reductase alpha subunit (mcrA) gene, partial cds",20422,2,768,94.27,97.01,97.18,103.09,102.79,20413.35,1e-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"115547|FJ403682.1 Uncultured archaeon clone 40H-100A-16 methyl-coenzyme M reductase alpha subunit (mcrA) gene, partial cds",666,2,768,29.04,29.17,99.55,342.86,3.52,657.4,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"115547|FJ404051.1 Uncultured archaeon clone 40H-260S-30 16S ribosomal RNA gene, partial sequence",1872,3,914,31.18,31.29,99.65,319.58,12.51,1861.73,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"115547|FJ404092.1 Uncultured archaeon clone 40H-100S-4 16S ribosomal RNA gene, partial sequence",5592,3,933,52.2,52.2,100.0,191.58,30.22,5581.5,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"115547|FJ404108.1 Uncultured archaeon clone 40H-100S-20 16S ribosomal RNA gene, partial sequence",994,3,914,24.18,24.18,100.0,413.57,6.44,983.75,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
3659|FJ410938.1 Cucumis sativus satellite 2-C sequence,1300,1,360,64.44,65.83,97.89,151.9,21.67,1295.95,1e-26,3655,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Cucumis,
3656|FJ410944.1 Cucumis melo satellite Csst1-Cm sequence,6396,1,514,98.25,100.0,98.25,100.0,74.2,6390.21,1e-26,3655,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Cucumis,
"115547|FJ264640.1 Uncultured archaeon clone Mn3b-M110 methyl coenzyme M reductase subunit alpha (mcrA) gene, partial cds",246,1,482,98.34,100.0,98.34,100.0,2.3,240.62,1e-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"115547|FJ264648.1 Uncultured archaeon clone Mn3b-M97 methyl coenzyme M reductase subunit alpha (mcrA) gene, partial cds",272,1,482,61.0,62.24,98.0,160.67,2.49,266.62,1e-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"115547|FJ264684.1 Uncultured archaeon clone OrigSedM53 methyl coenzyme M reductase subunit alpha (mcrA) gene, partial cds",2616,1,482,60.79,62.24,97.67,160.67,21.16,2610.58,1e-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"115547|FJ264706.1 Uncultured archaeon clone OrigSedM75 methyl coenzyme M reductase subunit alpha-like (mcrA) gene, partial sequence",7270,1,481,96.67,98.34,98.31,101.69,55.15,7264.58,1e-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"77133|FJ455886.1 Uncultured bacterium clone B103E10 16S ribosomal RNA gene, partial sequence",8138,5,1550,51.61,52.06,99.13,192.07,29.54,8120.56,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"115547|FJ351238.1 Uncultured archaeon clone 060329_T2S1_S_T_SDP_164 small subunit ribosomal RNA gene, partial sequence",3078,3,867,45.56,46.6,97.77,214.6,22.4,3068.25,1e-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"115547|FJ353523.1 Uncultured archaeon clone Gctb_ML_097 small subunit ribosomal RNA gene, partial sequence",6162,3,867,42.68,43.25,98.67,231.2,42.31,6152.24,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"77133|FJ712573.1 Uncultured bacterium clone KZNMV-25-B26 16S ribosomal RNA gene, partial sequence",3776,5,1441,32.48,32.62,99.57,306.6,13.19,3759.8,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"4682|FJ786257.1 Allium sativum alliinase mRNA, complete cds",2596,5,1523,23.97,23.97,100.0,417.26,6.3,2578.9,1e-26,4682,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Asparagales,Amaryllidaceae,Allium,Allium sativum
"34034|FJ753035.1 Uncultured delta proteobacterium clone NdAmb118 16S ribosomal RNA gene, partial sequence",792,2,758,31.27,31.53,99.16,317.15,3.56,783.5,1e-26,34034,Bacteria,unk_k,Proteobacteria,Deltaproteobacteria,unk_o,unk_f,unk_g,uncultured delta proteobacterium
"77133|FJ851579.1 Uncultured bacterium clone 081030-OL-KR13:7-2 16S ribosomal RNA gene, partial sequence",2518,3,1053,27.45,27.54,99.66,363.1,14.16,2506.17,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|FJ873257.1 Uncultured bacterium clone bOHTK-28 16S ribosomal RNA gene, partial sequence",2618,5,1441,20.68,20.89,99.0,478.74,11.61,2601.82,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|FJ892943.1 Uncultured bacterium clone nbt15d07 16S ribosomal RNA gene, partial sequence",6308,5,1364,40.84,40.84,100.0,244.88,20.09,6292.66,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"157466|GQ267095.1 Uncultured candidate division OP10 bacterium clone Mothra_B6-25 16S ribosomal RNA gene, partial sequence",3628,3,915,32.24,32.9,98.01,303.99,22.95,3617.71,1e-26,67819,Bacteria,unk_k,Armatimonadetes,unk_c,unk_o,unk_f,unk_g,
"34034|GQ267100.1 Uncultured delta proteobacterium clone Mothra_B6-16 16S ribosomal RNA gene, partial sequence",1116,3,922,32.1,32.54,98.67,307.33,7.16,1105.66,1e-26,34034,Bacteria,unk_k,Proteobacteria,Deltaproteobacteria,unk_o,unk_f,unk_g,uncultured delta proteobacterium
"166587|GQ267102.1 Uncultured Chloroflexi bacterium clone Mothra_B6-14 16S ribosomal RNA gene, partial sequence",4484,3,893,33.48,33.59,99.67,297.67,27.2,4473.95,1e-26,166587,Bacteria,unk_k,Chloroflexi,unk_c,unk_o,unk_f,unk_g,uncultured Chloroflexi bacterium
"62322|GQ414575.1 Shewanella baltica strain IRL551 16S ribosomal RNA gene, partial sequence",3988,5,1433,23.8,23.8,100.0,420.23,13.74,3971.89,1e-26,62322,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella baltica
"77133|GQ356967.1 Uncultured bacterium clone Fe_B_150 16S ribosomal RNA gene, partial sequence",8768,5,1513,31.39,31.46,99.79,317.86,29.95,8750.98,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"115547|GQ357042.1 Uncultured archaeon clone Fe_M_52 methyl coenzyme M reductase subunit alpha gene, partial cds",348,1,482,61.0,62.24,98.0,160.67,3.11,342.61,1e-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"115547|GQ357044.1 Uncultured archaeon clone Fe_M_54 methyl coenzyme M reductase subunit alpha gene, partial cds",36712,1,482,97.72,98.96,98.74,101.05,288.78,36706.57,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"115547|GQ357053.1 Uncultured archaeon clone Fe_M_65 methyl coenzyme M reductase subunit alpha gene, partial cds",7968,1,476,91.18,92.44,98.64,108.18,59.03,7962.64,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"115547|GQ357058.1 Uncultured archaeon clone Fe_M_70 methyl coenzyme M reductase subunit alpha gene, partial cds",5072,1,482,68.67,69.09,99.4,144.74,44.19,5066.57,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
