Closest_match,Score,Expected,Template_length,Template_Identity,Template_Coverage,Query_Identity,Query_Coverage,Depth,q_value,p_value,LCA_TaxId,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species
"175243|HQ871913.1 Uncultured Ascomycota clone UAP7754 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",522,1,401,81.8,83.04,98.5,120.42,6,518.8,1.00E-26,175243,Eukaryota,Fungi,Ascomycota,unk_c,unk_o,unk_f,unk_g,uncultured Ascomycota
"155900|DQ396076.1 Uncultured organism clone ctg_NISA131 16S ribosomal RNA gene, partial sequence",6560,4,1536,72.98,73.05,99.91,136.9,21.84,6547.74,1.00E-26,155900,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism
"155900|DQ396165.1 Uncultured organism clone ctg_NISA186 16S ribosomal RNA gene, partial sequence",4300,4,1535,29.32,29.38,99.78,340.35,12.74,4287.75,1.00E-26,155900,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism
"86473|AB240697.1 Uncultured gamma proteobacterium gene for 16S rRNA, partial sequence, clone:BNT06-19",1126,2,937,75.35,75.45,99.86,132.53,6.01,1118.54,1.00E-26,86473,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,unk_o,unk_f,unk_g,uncultured Gammaproteobacteria bacterium
"86473|AB240700.1 Uncultured gamma proteobacterium gene for 16S rRNA, partial sequence, clone:BNT06-24",2056,2,933,91,91.32,99.65,109.51,10.24,2048.56,1.00E-26,86473,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,unk_o,unk_f,unk_g,uncultured Gammaproteobacteria bacterium
"693|AB255725.1 Vibrio nereis DNA, 16S-23S rRNA intergenic spacer and 23S rRNA, partial sequence, strain: IAM 14407",294,0,298,75.5,76.85,98.25,130.13,5.03,291.63,1.00E-26,662,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,
"77133|DQ462285.1 Uncultured bacterium clone b28r 16S ribosomal RNA gene, partial sequence",750,2,861,75.49,75.84,99.54,131.85,3.71,743.15,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"663|DQ520262.1 Vibrio alginolyticus strain 86-148 FtsZ (ftsZ) gene, partial cds",2646,3,1146,95.2,95.29,99.91,104.95,8.37,2636.86,1.00E-26,663,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus
"153939|AB263140.1 Uncultured sulfate-reducing bacterium dsrA, dsrB genes for dissimilatory sulfite reductase alpha subunit, dissimilatory sulfite reductase beta subunit, partial cds, clone: NTd-I16",6378,5,1926,97.25,99.95,97.3,100.05,17.98,6362.63,1.00E-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"153939|AB263149.1 Uncultured sulfate-reducing bacterium dsrA, dsrB genes for dissimilatory sulfite reductase alpha subunit, dissimilatory sulfite reductase beta subunit, partial cds, clone: NTd-I25",1004,5,1935,80.21,81.5,98.41,122.7,2.91,988.65,1.00E-26,153939,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured sulfate-reducing bacterium
"153939|AB263154.1 Uncultured sulfate-reducing bacterium dsrA, dsrB genes for dissimilatory sulfite reductase alpha subunit, dissimilatory sulfite reductase beta subunit, partial cds, clone: NTd-II03",6072,5,1905,78.11,82.41,94.78,121.34,19.39,6056.8,1.00E-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,
"153939|AB263176.1 Uncultured sulfate-reducing bacterium dsrA, dsrB genes for dissimilatory sulfite reductase alpha subunit, dissimilatory sulfite reductase beta subunit, partial cds, clone: NTd-V05",2944,4,1811,94.86,99.83,95.02,100.17,12.38,2929.56,1.00E-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,
"153939|AB263181.1 Uncultured sulfate-reducing bacterium dsrA, dsrB genes for dissimilatory sulfite reductase alpha subunit, dissimilatory sulfite reductase beta subunit, partial cds, clone: NTd-VII01",2120,5,1968,91.87,96.9,94.81,103.2,8.3,2104.33,1.00E-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,
"153939|AB263182.1 Uncultured sulfate-reducing bacterium dsrA, dsrB genes for dissimilatory sulfite reductase alpha subunit, dissimilatory sulfite reductase beta subunit, partial cds, clone: NTd-VII02",986,5,1956,73.31,76.33,96.05,131.01,3.51,970.48,1.00E-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,
"153939|DQ521835.1 Uncultured sulfate-reducing bacterium clone SURF-GC205-dsr80 dissimilatory sulfite reductase subunit A (dsrA) and dissimilatory sulfite reductase subunit B (dsrB) genes, partial cds",500,2,999,84.18,88.09,95.57,113.52,3.81,492.07,1.00E-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,
"153939|DQ521836.1 Uncultured sulfate-reducing bacterium clone SURF-GC205-dsr79 dissimilatory sulfite reductase subunit A (dsrA) and dissimilatory sulfite reductase subunit B (dsrB) genes, partial cds",682,2,1002,67.76,69.36,97.7,144.17,4.79,674.04,1.00E-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"153939|DQ521846.1 Uncultured sulfate-reducing bacterium clone SURF-GC205-dsr57 dissimilatory sulfite reductase subunit A (dsrA) and dissimilatory sulfite reductase subunit B (dsrB) genes, partial cds",1598,3,1128,98.05,100,98.05,100,7.52,1589.01,1.00E-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"153939|DQ521847.1 Uncultured sulfate-reducing bacterium clone SURF-GC205-dsr1 dissimilatory sulfite reductase subunit A (dsrA) and dissimilatory sulfite reductase subunit B (dsrB) genes, partial cds",1954,2,1111,76.78,81.01,94.78,123.44,13.18,1945.14,1.00E-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,
"77133|DQ521787.1 Uncultured bacterium clone SMI1-GC205-Bac2i 16S ribosomal RNA gene, partial sequence",4172,3,1433,44.52,44.59,99.84,224.26,13.61,4160.56,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|DQ521811.1 Uncultured bacterium clone SURF-GC205-Bac28 16S ribosomal RNA gene, partial sequence",878,3,1480,82.5,83.45,98.87,119.84,3.44,866.25,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|DQ521820.1 Uncultured bacterium clone SURF-GC205-Bac6 16S ribosomal RNA gene, partial sequence",1964,3,1432,95.25,96.09,99.13,104.07,6.74,1952.59,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"392725|DQ660392.1 Thalassomonas sediminis strain BS250 16S ribosomal RNA gene, partial sequence",2078,3,1494,97.86,98.39,99.46,101.63,5.62,2066.09,1.00E-26,392725,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Thalassomonas,Thalassomonas sediminis
"663|DQ664545.1 Vibrio alginolyticus strain RH2 Hsp60 gene, partial cds",2778,1,507,90.93,91.32,99.57,109.5,23.12,2773.95,1.00E-26,663,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus
"77133|DQ811955.1 Uncultured bacterium clone MSB-5B4 16S ribosomal RNA gene, partial sequence",834,4,1540,74.94,76.3,98.21,131.06,2.5,821.78,1.00E-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"218289|DQ831554.1 Uncultured Desulfosarcina sp. clone CBII25 16S ribosomal RNA gene, partial sequence",2232,4,1518,49.01,49.54,98.94,201.86,5.96,2219.9,1.00E-26,218289,Bacteria,unk_k,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfosarcina,uncultured Desulfosarcina sp.
"663|DQ979323.1 Vibrio alginolyticus strain zj2004 outer membrane protein precursor (ompV) gene, partial cds",3298,1,720,90.56,90.69,99.85,110.26,20.33,3292.25,1.00E-26,663,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus
"77133|AB272950.1 Uncultured bacterium nirS gene for cd1-type nitrite reductase, partial cds, clone: NBnirS46-2",260,0,297,97.64,99.66,97.97,100.34,5.4,257.64,1.00E-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"77133|AB272951.1 Uncultured bacterium nirS gene for cd1-type nitrite reductase, partial cds, clone: NBnirS46-3",698,0,297,97.64,100,97.64,100,11.98,695.63,1.00E-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"77133|AB272975.1 Uncultured bacterium nirS gene for cd1-type nitrite reductase, partial cds, clone: NFnirS46-5",204,0,297,49.83,52.53,94.87,190.38,3.15,201.64,1.00E-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,
"77133|AB272976.1 Uncultured bacterium nirS gene for cd1-type nitrite reductase, partial cds, clone: NFnirS46-6",570,0,298,93.96,100.34,93.65,99.67,11.36,567.62,1.00E-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,
"77133|EF093944.1 Uncultured bacterium clone 17_11T_13_50 16S ribosomal RNA gene, partial sequence",174,0,319,90.6,91.85,98.63,108.87,2.75,171.47,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"663|EF064399.1 Vibrio alginolyticus strain 2406-02 RNA polymerase beta subunit (rpoB) gene, partial cds",5838,2,871,90.7,90.82,99.87,110.11,32.93,5831.04,1.00E-26,663,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus
"77133|AM419237.1 Uncultured bacterium partial narG gene for nitrate reductase, clone DBb7",1366,1,651,99.54,100,99.54,100,10.31,1360.81,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"1826778|EF143346.1 Unidentified bacterium clone 5-AkalH-PUFC-CH4 16S ribosomal RNA, 16S-23S ribosomal RNA intergenic spacer and 23S ribosomal RNA gene, partial sequence",1708,1,409,98.78,100,98.78,100,22.14,1704.73,1.00E-26,1869227,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,bacterium
"351348|CP000514.1 Marinobacter hydrocarbonoclasticus VT8, complete genome",16899396,11087,4326849,72.2,73.39,98.37,136.26,18.45,16866161.9,1.00E-26,2742,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Marinobacteraceae,Marinobacter,
263771|EF190084.1 Uncultured Salmonella sp. clone QGQG1 unknown sequence,1652,3,1340,48.66,51.87,93.81,192.81,7.84,1641.32,1.00E-26,543,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,
"115413|EF190087.1 Uncultured marine crenarchaeote clone QGQG4 16S ribosomal RNA gene, partial sequence",798,3,1459,82.04,84.99,96.53,117.66,3.83,786.42,1.00E-26,28889,Archaea,unk_k,Crenarchaeota,unk_c,unk_o,unk_f,unk_g,
"390597|DQ631761.1 Bacteriovorax sp. MB41 16S ribosomal RNA gene, partial sequence",11140,3,1300,99.62,99.85,99.77,100.15,40.48,11129.62,1.00E-26,390597,Bacteria,unk_k,Proteobacteria,Oligoflexia,Bacteriovoracales,Bacteriovoracaceae,Bacteriovorax,Bacteriovorax sp. MB41
"77133|AB292967.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: Acs2P46",432,2,820,57.93,58.66,98.75,170.48,2.2,425.49,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AB293009.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: Acs2S33",460,2,858,65.38,65.5,99.82,152.67,2.45,453.19,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"81824|AC198464.1 Monosiga brevicollis clone JGIACYI-5A2, complete sequence",40826,105,39455,22.9,23.45,97.64,426.45,4.54,40511.87,1.00E-26,81525,Eukaryota,unk_k,unk_p,Choanoflagellata,Craspedida,Salpingoecidae,Monosiga,
"81824|AC198465.1 Monosiga brevicollis clone JGIACYI-5A3, complete sequence",125696,95,36028,40.02,40.39,99.09,247.62,15.37,125408.52,1.00E-26,81824,Eukaryota,unk_k,unk_p,Choanoflagellata,Craspedida,Salpingoecidae,Monosiga,Monosiga brevicollis
"81824|AC198468.1 Monosiga brevicollis clone JGIACYI-5A6, complete sequence",69650,109,41105,31.24,31.66,98.68,315.83,7.45,69322.32,1.00E-26,81824,Eukaryota,unk_k,unk_p,Choanoflagellata,Craspedida,Salpingoecidae,Monosiga,Monosiga brevicollis
"81824|AC198531.1 Monosiga brevicollis clone JGIACYI-5A7, complete sequence",276624,110,41653,69.02,69.9,98.74,143.06,29.16,276291.59,1.00E-26,81824,Eukaryota,unk_k,unk_p,Choanoflagellata,Craspedida,Salpingoecidae,Monosiga,Monosiga brevicollis
"81824|AC198533.1 Monosiga brevicollis clone JGIACYI-5A9, complete sequence",70874,82,31076,98.19,99.76,98.43,100.24,11.26,70626.14,1.00E-26,81824,Eukaryota,unk_k,unk_p,Choanoflagellata,Craspedida,Salpingoecidae,Monosiga,Monosiga brevicollis
"81824|AC198534.1 Monosiga brevicollis clone JGIACYI-5B1, complete sequence",125858,112,42264,54.02,54.33,99.43,184.08,12.98,125520.82,1.00E-26,81824,Eukaryota,unk_k,unk_p,Choanoflagellata,Craspedida,Salpingoecidae,Monosiga,Monosiga brevicollis
"81824|AC198632.1 Monosiga brevicollis clone JGIACYI-5B5, complete sequence",134888,94,35387,65.12,65.94,98.75,151.65,17.5,134605.62,1.00E-26,81824,Eukaryota,unk_k,unk_p,Choanoflagellata,Craspedida,Salpingoecidae,Monosiga,Monosiga brevicollis
"670|EF203212.1 Vibrio parahaemolyticus strain R22 16S ribosomal RNA gene, partial sequence",2140,3,1476,47.76,47.76,100,209.36,6.3,2128.24,1.00E-26,670,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio parahaemolyticus
"81824|AC199615.1 Monosiga brevicollis clone JGIACYI-81J17, complete sequence",124136,99,37395,97.5,100.01,97.49,99.99,19.62,123837.63,1.00E-26,81525,Eukaryota,unk_k,unk_p,Choanoflagellata,Craspedida,Salpingoecidae,Monosiga,
"271091|EF426680.1 Psychrilyobacter atlanticus strain HAW-EB21 23S ribosomal RNA gene, partial sequence",10278,3,1262,98.89,99.92,98.97,100.08,48.76,10267.92,1.00E-26,271091,Bacteria,unk_k,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Psychrilyobacter,Psychrilyobacter atlanticus
"86473|DQ431906.1 Uncultured gamma proteobacterium clone 3G02-10 16S ribosomal RNA gene, partial sequence",1082,3,1401,66.17,66.81,99.04,149.68,4.28,1070.86,1.00E-26,86473,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,unk_o,unk_f,unk_g,uncultured Gammaproteobacteria bacterium
"203437|DQ424407.1 Uncultured Gemmatimonadetes bacterium clone NE40G01cA 16S ribosomal RNA gene, partial sequence",634,2,809,89.25,91.22,97.83,109.62,3.71,627.57,1.00E-26,142182,Bacteria,unk_k,Gemmatimonadetes,unk_c,unk_o,unk_f,unk_g,
"34034|AM404331.1 Uncultured delta proteobacterium partial 16S rRNA gene, clone HMMV-sortedANME3agg-Bac104",774,4,1521,62.46,62.98,99.16,158.77,2.37,761.93,1.00E-26,34034,Bacteria,unk_k,Proteobacteria,Deltaproteobacteria,unk_o,unk_f,unk_g,uncultured delta proteobacterium
"77133|AB300130.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: KM22B-02",1386,3,1295,54.75,56.83,96.33,175.95,6.95,1375.69,1.00E-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"56765|EF471370.1 Uncultured marine bacterium clone A1-80-5 assimilatory nitrate reductase (nasA) gene, partial cds",600,2,824,63.47,64.44,98.49,155.18,3.2,593.45,1.00E-26,56765,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured marine bacterium
"77133|EF491302.1 Uncultured bacterium clone S1-41 16S ribosomal RNA gene, partial sequence",410,2,806,61.79,63.4,97.46,157.73,3.16,403.61,1.00E-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"86473|EF491362.1 Uncultured gamma proteobacterium clone S2-45 16S ribosomal RNA gene, partial sequence",508,2,879,71.56,72.35,98.9,138.21,3.41,501.02,1.00E-26,86473,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,unk_o,unk_f,unk_g,uncultured Gammaproteobacteria bacterium
"153939|AM408824.1 Uncultured sulfate-reducing bacterium partial dsrA and dsrB genes for dissimilatory sulfite reductase alpha and beta subunits, clone AB-07",3366,5,1940,98.2,100,98.2,100,8.57,3350.53,1.00E-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"86473|DQ640721.1 Uncultured gamma proteobacterium clone Skagen117 16S ribosomal RNA gene, partial sequence",936,3,1412,76.91,79.04,97.31,126.52,3.37,924.78,1.00E-26,1236,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,unk_o,unk_f,unk_g,
"77133|EF165504.1 Uncultured bacterium clone PR_OTU-14 16S ribosomal RNA gene, partial sequence",280,1,557,90.66,92.1,98.44,108.58,3.22,275.58,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"396070|DQ768635.1 Marinobacter sp. MARC4V 16S ribosomal RNA gene, partial sequence",1062,4,1504,84.24,84.31,99.92,118.61,2.95,1050.04,1.00E-26,396070,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Marinobacteraceae,Marinobacter,Marinobacter sp. MARC4V
"663|EF634327.1 Vibrio alginolyticus strain MVP01 FlaK (flak) gene, complete cds",6284,3,1467,59.37,59.44,99.89,168.23,17.89,6272.29,1.00E-26,663,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus
"663|EF645828.1 Vibrio alginolyticus strain H050815-1 collagenase gene, partial cds",7436,1,738,92.41,94.58,97.71,105.73,50.7,7430.11,1.00E-26,662,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,
"198431|DQ867461.1 Uncultured prokaryote clone TBF1a5e_a1 nasA (nasA) gene, partial cds",166,0,329,91.19,97.26,93.75,102.81,4.37,163.39,1.00E-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,,
"198431|DQ867519.1 Uncultured prokaryote clone TBF1a9e_a12 nasA (nasA) gene, partial cds",228,0,294,83.33,87.41,95.33,114.4,5.88,225.66,1.00E-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,,
"77133|AB305448.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: p763_b_1.08",570,2,879,78.5,78.95,99.42,126.66,3.38,563.02,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AB305555.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: p816_b_1.18",1038,2,896,72.1,72.88,98.93,137.21,5.66,1030.86,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|EU048674.1 Uncultured bacterium clone MD2896-B15 16S ribosomal RNA gene, partial sequence",842,3,1479,56.19,56.8,98.93,176.07,2.99,830.26,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"670|EU051423.1 Vibrio parahaemolyticus strain 3 threonine 3-dehydrogenase (dtdS) gene, partial cds",4590,1,458,100,100,100,100,40.45,4586.34,1.00E-26,670,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio parahaemolyticus
"91750|EU050749.1 Uncultured alpha proteobacterium clone ss1_B_06_68 16S ribosomal RNA gene, partial sequence",5826,3,1403,52.67,53.39,98.66,187.32,23.31,5814.8,1.00E-26,91750,Bacteria,unk_k,Proteobacteria,Alphaproteobacteria,unk_o,unk_f,unk_g,uncultured Alphaproteobacteria bacterium
"91750|EU050751.1 Uncultured alpha proteobacterium clone ss1_B_03_91 16S ribosomal RNA gene, partial sequence",788,3,1419,67.79,67.86,99.9,147.35,2.54,776.73,1.00E-26,91750,Bacteria,unk_k,Proteobacteria,Alphaproteobacteria,unk_o,unk_f,unk_g,uncultured Alphaproteobacteria bacterium
"86473|EU050801.1 Uncultured gamma proteobacterium clone SS1_B_05_18 16S ribosomal RNA gene, partial sequence",1210,3,1436,68.94,69.15,99.7,144.61,3.76,1198.57,1.00E-26,86473,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,unk_o,unk_f,unk_g,uncultured Gammaproteobacteria bacterium
"77133|EU050889.1 Uncultured bacterium clone SS1_B_03_59 16S ribosomal RNA gene, partial sequence",734,3,1398,29.04,29.04,100,344.33,1.93,722.91,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|EU050907.1 Uncultured bacterium clone SS1_B_06_18 16S ribosomal RNA gene, partial sequence",1946,3,1401,96.57,96.93,99.63,103.17,6.61,1934.83,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|DQ909396.1 Uncultured bacterium clone FS396_454_1000bp_0526B 16S ribosomal RNA gene, partial sequence",932,2,1021,61.21,62.39,98.12,160.28,4.05,923.87,1.00E-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"77133|DQ909177.1 Uncultured bacterium clone FS396_454_1000bp_0186B 16S ribosomal RNA gene, partial sequence",528,2,1003,59.42,59.52,99.83,168.01,2.69,520.04,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"50719|EF601321.1 Vibrio diabolicus strain LMG 19805 ATPase (atpA) gene, partial cds",7428,3,1322,65.51,65.89,99.43,151.78,27.77,7417.44,1.00E-26,50719,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio diabolicus
"29281|EF534481.1 Uncultured crenarchaeote clone UJTO36 putative ammonia monooxygenase subunit A (amoA) gene, partial cds",222,1,416,66.59,67.55,98.58,148.04,2.02,218.7,1.00E-26,29281,Archaea,unk_k,Crenarchaeota,unk_c,unk_o,unk_f,unk_g,uncultured crenarchaeote
"77133|EU287008.1 Uncultured bacterium clone B78-44 16S ribosomal RNA gene, partial sequence",6870,3,1441,53.71,54.27,98.98,184.27,28.56,6858.5,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|EU287134.1 Uncultured bacterium clone P13-41 16S ribosomal RNA gene, partial sequence",2560,4,1502,70.31,70.77,99.34,141.3,7.91,2548.02,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|EU287136.1 Uncultured bacterium clone P13-43 16S ribosomal RNA gene, partial sequence",992,3,1499,61.71,62.44,98.82,160.15,2.97,980.09,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|EU287165.1 Uncultured bacterium clone P13-72 16S ribosomal RNA gene, partial sequence",784,3,1499,51.1,51.3,99.61,194.93,3,772.1,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|EU287170.1 Uncultured bacterium clone P13-77 16S ribosomal RNA gene, partial sequence",3030,4,1518,75.36,76.48,98.54,130.75,9.35,3017.89,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|EU287182.1 Uncultured bacterium clone P13-89 16S ribosomal RNA gene, partial sequence",3422,3,1501,90.21,90.34,99.85,110.69,10.15,3410.03,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|EU287229.1 Uncultured bacterium clone S11-46 16S ribosomal RNA gene, partial sequence",2892,3,1500,76,76,100,131.58,9.59,2880.04,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|EU287246.1 Uncultured bacterium clone S11-63 16S ribosomal RNA gene, partial sequence",800,3,1499,80.19,80.92,99.09,123.58,2.96,788.1,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|EU287256.1 Uncultured bacterium clone S11-73 16S ribosomal RNA gene, partial sequence",902,3,1480,68.92,69.26,99.51,144.39,2.84,890.24,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|EU287401.1 Uncultured bacterium clone S26-101 16S ribosomal RNA gene, partial sequence",1744,3,1483,66.76,66.96,99.7,149.35,5.79,1732.19,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"171953|DQ829657.1 Uncultured Acidobacteria bacterium clone DON33 23S ribosomal RNA gene, partial sequence",21514,4,1875,95.73,99.47,96.25,100.54,84.16,21499.02,1.00E-26,57723,Bacteria,unk_k,Acidobacteria,unk_c,unk_o,unk_f,,
"77133|EU290681.1 Uncultured bacterium clone 16_st5_4-6cm 16S ribosomal RNA gene, partial sequence",1206,3,1401,87.44,88.79,98.47,112.62,4.55,1194.85,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|EU290692.1 Uncultured bacterium clone 27_st5_4-6cm 16S ribosomal RNA gene, partial sequence",996,3,1491,61.7,63.11,97.77,158.45,3.6,984.15,1.00E-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"77133|EU290708.1 Uncultured bacterium clone 41_st3_0-2cm 16S ribosomal RNA gene, partial sequence",784,3,1444,72.51,72.99,99.34,137,2.69,772.54,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"115547|AB362195.1 Uncultured archaeon nifH, nifI1, nifI2, nifD, nifK genes for dinitrogenase reductase, nitrogen regulatory protein P-II, P-II family nitrogen regulatory protein, dinitrogenase alpha subunit, dinitrogenase beta subunit, partial and complete cds, clone: K8MV-C2nifHK1_11",20304,7,2922,97.64,100,97.64,100,33.16,20280.67,1.00E-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"115547|AB362196.1 Uncultured archaeon nifH, nifI1, nifI2, nifD, nifK genes for dinitrogenase reductase, nitrogen regulatory protein P-II, P-II family nitrogen regulatory protein, dinitrogenase alpha subunit, dinitrogenase beta subunit, partial and complete cds, clone: K8MV-C2nifHK1_21",37398,7,2922,97.74,99.14,98.58,100.86,67.11,37374.66,1.00E-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
